ticker,cur_mkt_cap,sales_rev_turn,is_comp_sales,is_cogs_to_fe_and_pp_and_g,gross_profit,is_tot_oper_exp,is_oper_inc,is_comparable_ebit,is_non_operating_inc_loss_gaap,cf_depr_amort,ebitda,is_comparable_ebitda,is_int_expense,is_int_inc,is_other_nonop_inc_loss_gaap,is_comp_ptp_ex_stk_based_comp,is_inc_tax_exp,earn_for_common,is_comp_net_income_gaap,cash_and_marketable_securities,preferred_equity_and_minority_int,short_and_long_term_debt,cf_cash_from_oper,capital_expend,cf_free_cash_flow,bs_cur_asset_report,bs_tot_asset,bs_cur_liab,bs_tot_liab2,total_equity,cf_cash_from_inv_act,cf_cash_from_fnc_act,estimate_comparable_fcf,bs_cash_near_cash_item,cb_cf_net_cash_investing_act,cb_cf_net_cash_investing_act,bs_pfd_eqy,minority_noncontrolling_interest,bs_tot_cap
AMAT UW Equity,83200.51906,25159,25159,13322,11837,4029,7808,7880,152,426,8324,8306,228,83,7,7617,1010,6646,6646,3548,0,5856,5690,-770,4920,15434,26161,6833,14091,12070,-1754,-7050,4920,2956,-1754,-1754,0,0,17926
AMCR UN Equity,16714.24508,14836,14836,11998,2838,,,1712,,599,,2124,,,,1141,295,835,835,,58,7081,,,,5853,17426,5103,13285,,,,,562,-622,-622,0,58,
AMD UW Equity,102529.7286,22828,,12202,10626,,2620,,97,3072,5692,,77,0,20,,261,2273,,5660,0,2890,3820,-412,3408,14420,67811,6691,13269,54542,932,-3794,3408,3398,932,932,0,0,57432
AME UN Equity,31575.18431,6028.608,6028.608,3923.998,2104.61,4564.855,1463.753,1463.753,74.273,308.586,1844.067,1675.312,80.681,,-5.908,1389.48,255.338,1134.142,1134.142,309.944,0,2524.207,1046.255,-124.271,921.984,2432.568,12038.932,1591.383,4906.26,7132.672,-416.196,-678.791,922,309.944,-416.196,-416.196,0,0,9656.879
AMGN UW Equity,155180.8333,26330,26330,6377,19953,16690,9640,12749,1911,3358,12998,,1326,0,585,11341,894,6835,6835,11478,0,38704,9880,-883,8997,24062,63700,14331,60047,3653,-2801,-9546,5339,9502,-2801,-2801,0,0,42357
AMP UN Equity,34075.85038,14436,14414,,,10985,3429,,,,,,,0,0,3365,663,2766,2766,7993,0,3023,3917,,,,153354,,170294,6054,,,,7993,,,0,0,9077
AMT UN Equity,94946.29371,10451.3,10451.3,,,,2786.9,2778.7,-220.9,3184.3,7190.8,6452.7,1057.1,,-1278,2569,153.3,2903,2903,2121.8,6036.8,46661.8,1547.8,-1675.4,-127.6,,66512.8,,54194.2,12318.6,-11673.9,7034.1,-4858.3,2121.8,-11673.9,-11673.9,0,6036.8,58980.4
AMZN UW Equity,915190.3868,502191,502191,286026,216165,489220,12971,12971,3011,38578,60091,69769,2155,662,1298,9660,-1378,11323,11079,58662,0,144580,39665,-65988,-26323,131463,428362,140363,290873,137489,-39360,4696,-102847,34947,-39360,-39360,0,0,282069
ANET UN Equity,39632.76736,3930.217,3930.217,1500.413,2429.804,1105.829,1323.975,1577.382,-39.264,57.639,1381.614,1648.055,,,-30.747,1430.946,198.587,1164.652,1164.652,2980.071,0,47.067,677.576,-43.465,634.111,5031.678,6162.01,1254.912,1776.792,4385.218,234.953,-827.234,634.111,716.253,234.953,234.953,0,0,4432.285
ANSS UW Equity,19899.0472,2027.105,2039.559,258.191,1768.914,1197.509,571.405,845.702,17.528,112.606,711.976,,16.479,2.675,3.724,621.256,84.943,468.934,468.988,632.703,0,883.101,558.684,-20.112,538.572,1449.876,6161.64,609.69,1617.955,4543.685,-671.779,-335.234,538.572,632.509,-671.779,-671.779,0,0,5426.786
AON UN Equity,58888.96285,12429,12429,,,8798,3631,3811,148,278,3909,3947,381,17,-251,3539,630,2795,2795,943,113,11674,3108,-161,2947,19176,31223,18688,31893,-670,-44,-2167,2947,692,-44,-44,0,113,11004
AOS UN Equity,8573.762412,3813.3,3813.3,2471.7,1341.6,,655.4,659.5,7,76.4,746.6,725.4,7.4,,-0.4,648.4,153,495.4,495.4,417.1,0,320.7,479,-80.7,398.3,1569.6,3231.9,900.9,1484.1,1747.8,-156.3,-450,398.3,358.8,-156.3,-156.3,0,0,2068.5
APA UW Equity,15718.71175,10857,10885,,,6569,,,,1211,,6592,,,,3931,1558,3613,3716,,1590,7763,,,,2380,13303,2117,13308,,,,1908,268,-1185,-1185,0,1590,
APD UN Equity,62955.42224,12698.6,12698.6,9338.5,3360.1,,2338.8,2412.5,-415.9,1338.2,3677,4247,128,,-62.4,2826.8,500.8,2256.1,2315.6,3301.7,558.4,7644.8,3230.2,-2926.5,303.7,6282.9,27192.6,3465.8,13490.2,13702.4,-3857.2,-1130.9,303.7,2711,-3857.2,-3857.2,0,558.4,21347.2
APH UN Equity,45227.18504,12410.7,12410.7,8478.7,3932,,2512.6,2539.6,113.7,405.7,2918.3,2945.3,120.2,0,-6.5,2406.4,535.4,1859.8,1859.8,1252,78,4753.2,1939.9,-376.4,1563.5,6326.9,15097.9,2654.9,8449,6648.9,-723.3,-1407.2,1562.2,1189,-723.3,-723.3,0,78,11402.1
APTV UN Equity,27265.65539,16983,16949,14570,2413,15900,1083,1335,368,764,1847,2403,193,33,136,737,96,313,360,4850,186,6773,999,-847,152,10983,19971,4129,11590,8381,-1172,2258,152,4850,-1172,-1172,0,186,15154
ARE UN Equity,23999.40409,2495.604,2495.604,,,,549.443,809.523,-125.786,976.92,1575.938,1782.967,111.543,0,-233.838,,0,531.866,538.057,533.824,3639.044,11027.633,1142.718,-7047.376,-5904.658,,34368.614,,13113.235,21255.379,-5394.549,4749.945,-5904.658,533.824,,,0,3639.044,32283.012
ATO UN Equity,14671.86398,4047.418,4047.418,1575.478,2471.94,3140.874,906.544,906.544,79.215,520.169,1426.713,1426.713,89.455,,-10.24,827.329,75.854,751.309,751.475,436.146,0,8012.79,1003.532,-2337.619,-1334.087,3281.851,21655.484,3259.117,12387.313,9268.171,-2325.907,1125.829,-1334.087,328.075,-2325.907,-2325.907,0,0,17280.961
ATVI UW Equity,56333.37309,7357,7393,2123,5234,5373,1984,2724,60,307,2291,2937,,,24,2517,249,1675,1674,10688,0,3610,1758,-88,1670,13110,25620,2278,6812,18808,,,1670,7743,,,0,0,22418
AVB UN Equity,22578.03339,2524.971,2354.035,,,,,,,,,1565.845,228.324,,,1028.972,12.262,1230.691,1230.691,,2.88,8063.003,,,,,19902.016,,8965.555,,,,,200.999,,,0.025,2.855,
AVGO UW Equity,193925.8301,31680,31680,10873,20807,7987,12820,19178,1837,5269,18089,19854,1765,,72,14556,858,9826,,9977,3737,39495,15694,-390,15304,15561,71326,6702,50423,20903,-489,-16333,15304,9977,-489,-489,3737,0,60398
AVY UN Equity,14313.7022,9196.6,9196.6,6707.5,2489.1,,1151.1,1138.3,77,289.8,1440.9,1428.1,81.6,0,-4.6,1064.9,256.8,816.9,816.9,128.2,0,3132.8,899.2,-307.6,591.6,2961.8,8042.3,2939.3,6035,2007.3,-362.2,-616,581.3,128.2,-362.2,-362.2,0,0,5140.1
AWK UN Equity,25408.62811,3812,3812,,,2580,1232,1232,-492,645,1877,1877,420,43,-869,1724,406,1318,1318,77,-27,11923,1176,-2280,-1104,1017,27126,2130,19368,7758,-1545,373,-1104,77,-1545,-1545,0,0,19681
