ticker,cur_mkt_cap,sales_rev_turn,is_comp_sales,is_cogs_to_fe_and_pp_and_g,gross_profit,is_tot_oper_exp,is_oper_inc,is_comparable_ebit,is_non_operating_inc_loss_gaap,cf_depr_amort,ebitda,is_comparable_ebitda,is_int_expense,is_int_inc,is_other_nonop_inc_loss_gaap,is_comp_ptp_ex_stk_based_comp,is_inc_tax_exp,earn_for_common,is_comp_net_income_gaap,cash_and_marketable_securities,preferred_equity_and_minority_int,short_and_long_term_debt,cf_cash_from_oper,capital_expend,cf_free_cash_flow,bs_cur_asset_report,bs_tot_asset,bs_cur_liab,bs_tot_liab2,total_equity,cf_cash_from_inv_act,cf_cash_from_fnc_act,estimate_comparable_fcf,bs_cash_near_cash_item,cb_cf_net_cash_investing_act,cb_cf_net_cash_investing_act,bs_pfd_eqy,minority_noncontrolling_interest,bs_tot_cap
EXPE UW Equity,14028.66748,11328,11328,1640,9688,,1120,1454,294,792,1912,2379,301,37,15,1396,263,451,-403,6628,1445,6552,3907,-628,3279,9270,21879,11119,18166,3713,-939,-3220,3279,4588,-939,-939,0,1445,10265
EXR UN Equity,20555.61607,1844.835,1844.835,,,,1092.605,1092.605,87.56,270.59,1355.044,1381.282,191.827,0,-65.006,965.784,19.51,924.855,924.855,86.991,818.727,7227.366,1171.189,-1990.379,-819.19,,11840.645,,7771.347,4069.298,-1662.002,503.886,-819.19,86.991,,,0,818.727,11296.664
F UN Equity,55020.46343,151736,142494,134688,17048,146282,5454,8960,-1582,7509,12963,15294,1379,408,-5087,7581,-1826,9012,9012,40173,-101320,129765,9206,-6573,2633,108088,246919,90167,204830,42089,-1638,-13471,9008,21548,-1638,-1638,0,-36,171854
FANG UW Equity,28750.87028,8411,,2805,5606,3072,5344,5386,-433,1299,6643,6592,151,0,-519,5330,1192,4381,4381,27,715,5357,6051,-2833,3218,1031,23843,1678,9285,14558,-2168,-4390,3218,27,-2168,-2168,0,715,19915
FAST UW Equity,28494.80403,6816.9,6816.9,3656.6,3160.3,,1421.5,1421.5,11.3,175.5,1597,1588.9,11.7,0.4,0,1410.2,337.7,1072.5,1072.5,231.5,0,808.9,795.5,-172.9,622.6,3195.6,4627.4,802.6,1466.2,3161.2,-163.1,-651.4,622.6,231.5,-163.1,-163.1,0,0,3970.1
FBHS UN Equity,7454.738348,8044.8,8044.8,5167.8,2877,,1079.2,1118.1,103.1,190.1,1269.3,1363.6,106.5,0,-3.4,1011.8,223.7,752.4,752.4,345.3,0,3529.6,546.7,-276.3,270.4,3007.6,8415.6,2047.9,5385.5,3030.1,-482,-181.3,288.5,345.3,-482,-482,0,0,6559.7
FCX UN Equity,50826.87687,23186,23186,14789,8397,15374,7812,7846,660,2072,9884,10380,594,0,66,7152,2335,3877,3877,8578,9227,10690,6350,-3137,3213,15373,49927,5999,25746,24181,-3114,-2331,3213,8578,-3114,-3114,0,9227,34871
FDS UN Equity,16058.39889,1843.892,1843.917,871.106,972.786,1368.41,475.482,624.395,31.888,86.683,600.965,628.179,29.522,0,2.366,539.75,46.677,396.917,396.917,536.492,0,2220.231,538.277,-51.156,487.121,870.347,4014.305,438.287,2682.897,1331.408,-2033.675,1316.806,487.121,503.273,-2033.675,-2033.675,0,0,3551.639
FDX UN Equity,41541.48744,94751,94668,74463,20288,88713,6038,6562,1445,4023,10061,,618,0,827,,1004,3589,,6850,0,37645,9355,-6477,2878,19606,85826,13765,60686,25140,-6575,-2783,2878,6850,-6575,-6575,0,0,62785
FE UN Equity,21480.76736,11942,11982,4202,7740,10207,1735,,195,1495,3230,,1032,,-817,,286,1236,1246,251,438,21258,2544,-2465,79,2312,44851,3493,33613,11238,-2751,-200,79,251,-2751,-2751,0,464,32496
FFIV UW Equity,8181.664362,2695.845,2695.845,539.627,2156.218,1752.426,,720.648,18.399,115.609,,836.257,,,18.399,702.249,63.233,322.16,322.16,,0,349.772,,-33.624,,,,,,,,,,758.012,,,0,,
FIS UN Equity,37228.62807,14487,14487,8875,5612,,1448,4931,155,3954,5402,6297,212,0,-57,4863,347,937,937,1932,187,18916,3911,-343,3568,10593,78317,13671,32802,45515,-1342,-2364,3121,1932,-1342,-1342,0,187,64431
FISV UW Equity,62493.11528,17363,16432,8215,9148,14269,3094,5602,752,3179,6273,7343,709,5,48,4199,445,2081,2081,893,817,21375,4328,-1669,2659,19875,75640,18724,44497,31143,-2199,-1346,3352,893,-2199,-2199,0,817,52518
FITB UW Equity,24173.0013,8630,8143,,,4707,3010,,,,,,,4449,0,3006,639,2258,2280,9662,2116,18302,,,,,205463,,188727,16736,,,,3068,,,2116,0,35038
FLT UN Equity,13518.80818,3345.774,3345.774,,,,1417.663,1624.191,136.955,307.501,1725.164,1757.564,,,18.26,1502.249,326.696,954.012,954.012,1317.544,0,7221.21,1036.129,-144.706,891.423,6586.068,14486.024,6638.165,12258.972,2227.052,-361.891,-382.295,891.423,1317.544,-361.891,-361.891,0,0,9448.262
FMC UN Equity,16026.64481,5593.9,5593.9,3338,2255.9,4565.5,1028.4,1183,151.8,169,1231,1352,,,11.8,880.9,150.3,654.2,675.1,363.8,15.4,3708.8,539.7,-132.1,407.6,5110.6,10764.7,3632.2,7561.1,3203.6,-307.1,-209.8,424.7,363.8,-307.1,-307.1,0,15.4,6912.4
FOX UW Equity,15507.4061,14121,14121,,,11538,2583,2784,996,383,2966,2983,342,19,673,1587,449,1109,1109,4950,257,7701,2125,-328,1797,8495,22424,2362,10646,11778,-556,-2030,1797,4950,-556,-556,0,257,19479
FOXA UW Equity,15507.4061,14121,14121,,,11538,2583,2784,996,383,2966,2983,342,19,673,1587,449,1109,1109,4950,257,7701,2125,-328,1797,8495,22424,2362,10646,11778,-556,-2030,1797,4950,-556,-556,0,257,19479
FRC UN Equity,20703.47303,6206.4,5796,,,,2131.4,,,,,,,4417,0,2130,451,1530.4,1529,5532,3633,12279,,,,,205109,,187990,17119,,,,5532,,,3633,0,29398
FRT UN Equity,8436.852724,1048.475,1047.676,,,,416.556,518.801,21.845,301.06,717.37,819.861,130.894,1.071,-102.84,,0,376.697,376.697,146.214,426.693,4442.795,511.694,-822.863,-311.169,,8217.007,,5049.368,3167.639,-668.427,127.464,-311.169,146.214,-1255.428,-1255.428,159.997,266.696,7610.434
FTNT UW Equity,39233.67343,4098,4098,1015.9,3082.1,2255.4,826.7,1065.2,32.1,102.3,936.6,1243.6,18,9.3,23.4,916.7,25.3,742.5,773.6,1730.4,11.9,989.9,1569.3,-401.6,1167.7,2982.2,5335.9,2779.6,5958.7,-622.8,280.6,-2738,2156,964,280.6,280.6,0,11.9,367.1
FTV UN Equity,22891.39289,5670.6,5670.6,2405.7,3264.9,,,898.1,,453,,1351.1,,,,792.2,96.3,693,695.9,,4.8,2947.1,1113.6,-81.6,1032,2514.9,16465.5,3714.9,6948.5,,,,1044.3,705.3,,,0,4.8,
GD UN Equity,69334.59277,38848,38848,32291,6557,34678,4170,4170,213,884,5054,5054,,,-159,3957,607,3350,3350,2496,0,13122,5592,-1005,4587,21005,51116,15659,33465,17651,-1379,-4856,4587,2496,-1379,-1379,0,0,30773
GE UN Equity,91390.76256,75073,74427,56066,19007,79488,2321,,6612,3567,5888,,1616,0,4996,2930,579,-6088,-5168,52517,-744,32910,3849,-1312,2537,60082,180877,54657,148124,32753,22674,-38603,4293,12596,22674,22674,6,1278,65663
GILD UW Equity,102910.7113,27136,27136,6888,20248,21133,6003,10988,1461,2110,8113,,947,0,514,5188,1233,3334,3818,6942,-24,25223,9710,-703,9007,13554,62557,10423,41500,21057,-2369,-7004,9007,4699,-2369,-2369,0,-24,46280
GIS UN Equity,47192.0208,19170.5,19170.5,12918,6252.5,,3717.1,3275.3,265.9,558.8,4275.9,3700.5,,,-105.5,3323.5,633.5,2900.3,2900.3,594.4,250.8,11561.9,3335.1,-555.6,2779.5,5134,31107.2,8595.5,20281.6,10825.6,-127,-3367.7,2779.5,594.4,-127,-127,0,250.8,22387.5
GL UN Equity,11064.02933,5189.597,5129.996,,,4323.445,951.542,,,,,,85.39,,0,866.152,160.055,706.097,706.097,85.586,0,2062.284,,,,,24838.788,,20477.19,4361.598,,,,85.586,,,0,0,6423.882
GLW UN Equity,27886.4021,14459,14886,9597,4862,,1835,2171,-512,1485,3320,3594,289,12,-785,1779,469,1839,1839,1630,264,7478,3021,-1824,1197,7804,28735,5167,17187,11548,-1585,-2018,1291,1630,-1585,-1585,0,264,19026
GM UN Equity,55407.17469,147211,147211,119805,27406,137987,9224,13513,-2021,11457,20681,,946,289,-1778,7162,1778,8627,7910.001703,30311,-82001,112607,17228,-9132,8096,98271,260530,86004,190762,69768,-16387,1007,12409,20745,-16387,-16387,,4499,182375
GNRC UN Equity,6521.274477,4582.576,4582.576,3041.2,1541.376,906.793,634.583,634.583,46.998,146.083,780.666,872.046,44.832,,3.189,587.585,106.644,471.382,471.382,229.911,88.011,1355.5,19.4,-87.369,-67.969,2313.269,5246.293,1105.13,2839.752,2406.541,-355.596,142.381,190.246,229.911,-355.596,-355.596,0,88.011,3762.041
GOOG UW Equity,1148277.649,282113,232655,123849,158264,203546,78567,78567,-16,15166,97358,98113,384,1893,861,78583,11593,66990,65174,116259,0,29336,92815,-30273,62542,166109,358255,65979,104629,253626,-25087,-69463,62542,21984,-25087,-25087,0,0,282962
GOOGL UW Equity,1148277.649,282113,232655,123849,158264,203546,78567,78567,-16,15166,97358,98113,384,1893,861,78583,11593,66990,65174,116259,0,29336,92815,-30273,62542,166109,358255,65979,104629,253626,-25087,-69463,62542,21984,-25087,-25087,0,0,282962
GPC UN Equity,25513.50299,21375.532,21375.532,13915.67,7459.862,5855.141,1604.721,1595.949,23.596,332.416,1937.137,1980.42,72.615,0,-49.019,1570.689,394.401,1186.724,1186.724,629.198,13.741,4042.792,1494.68,-371.928,1122.752,8823.198,16377.08,7495.119,12698.888,3678.192,-1923.224,138.645,1122.752,629.198,-1923.224,-1923.224,0,13.741,7720.984
GPN UN Equity,27007.66572,8916.512,8054.219,3818.703,5097.809,8363.015,553.497,3468.914,387.051,1686.967,2240.464,4639.904,412.638,0,-25.587,3085.731,156.683,70.641,70.641,1993.84,212.376,13888.587,2287.723,-605.828,1681.895,5453.352,43938.749,5676.685,21065.794,22872.955,-1484.886,-1113.958,1681.895,1993.84,-1484.886,-1484.886,0,212.376,36761.542
GRMN UN Equity,16624.92914,4945.518,4945.518,2111.609,2833.909,1758.121,1075.788,1112.869,31.854,163.415,1239.203,1395.617,,33.525,-5.071,1058.576,77.486,966.881,966.448,2697.393,0,100.181,588.556,-304.613,283.943,3968.123,7627.606,1442.923,1749.417,5878.189,-482.812,-662.529,153.265,1082.338,-482.812,-482.812,0,0,5978.37
GS UN Equity,128920.5452,61635,49411,,,30343,16981,,,2216,31767,,,19623,0,16981,3111,13388,13388,663721,10703,673923,48602,-4113,44489,,1555994,,1436704,119290,-83606,107425,44489,284251,-83606,-83606,10703,0,793213
GWW UN Equity,30433.2687,14785,14785,9189,5596,,2088,2088,66,207,2295,2295,92,0,-26,2022,505,1443,1437,315,254,2682,1186,-266,920,4686,7201,1785,4639,2562,-258,-941,920,315,-258,-258,0,254,5244
HAL UN Equity,35731.63929,18992,18992,16108,2884,16711,2281,2647,595,935,3216,3582,504,95,186,2011,-71,1740,1740,1977,24,8954,1761,-977,784,10411,22563,4968,14918,7645,-804,-1612,1053,1977,-804,-804,0,24,16599
HAS UW Equity,8480.182742,6191.6,6191.6,2014.3,4177.3,,704.9,873.2,191.3,249.2,1043.6,1152.4,167.6,9.2,32.9,535.4,97.2,414.6,414.6,551.6,23,4103.8,394.5,-165.3,229.2,3260.5,9626.1,2356.9,6627.1,2999,-301.3,-718,229.2,551.6,-301.3,-301.3,0,23,7102.8
HBAN UW Equity,22362.38095,7294,6960,,,,2461,,,447,,,,4452,0,2461,459,1885,1909,4592,2202,10594,3167,-255,2912,,179402,,162231,17171,-15097,6561,2912,1685,-15097,-15097,2167,35,27765
HCA UN Equity,59885.05346,59800,59800,,,,9026,9090,1162,2947,11973,12037,1686,0,-460,7960,1671,5376,5376,999,2592,39472,8438,-4264,4174,13481,51484,9784,52262,-778,-4310,-4156,4174,999,-4310,-4310,0,2592,38694
HD UN Equity,297883.9316,155239,155239,103186,52053,28294,23759,23759,1397,2921,26680,25696,1435,38,0,22362,5477,16885,16885,1259,0,47597,13806,-2971,10835,32941,75825,27834,75588,237,-2972,-14141,10835,1259,-2972,-2972,0,0,47834
HES UN Equity,45722.14645,10627,10713,4562,6065,6160,3611,,371,1597,5208,,490,0,-119,3240,1019,1864,1864,2384,635,9070,3591,-2441,1150,4123,21643,2312,13449,8194,-2418,-1208,1150,2384,-2418,-2418,0,635,17264
HIG UN Equity,23453.4351,22162,22162,,,19736,2651,,,2438,,,225,,0,2582,471,1934,1934,285,345,4356,4128,-163,3965,,71801,,58846,12955,-1423,-2875,3965,285,-1423,-1423,345,0,17311
HII UN Equity,9795.519847,10541,10541,9067,1474,,580,580,-127,354,934,902,105,0,-232,707,131,576,576,117,0,3206,436,-285,151,2817,10615,2892,7567,3048,-290,-584,151,117,-290,-290,0,0,6254
HLT UN Equity,35367.5345,8165,8165,932,7233,6243,1923,1996,355,168,2091,2371,390,0,-39,1590,496,1074,1073,1282,-1,9517,1312,-37,1275,2976,15508,3365,16422,-914,-121,-1234,1275,1282,-121,-121,0,-1,8603
HOLX UW Equity,18471.83478,4862.8,4862.8,1865.4,2997.4,1357.2,1640.2,1997.6,52,430.1,2070.3,2103.7,95.1,12.9,-30.2,1934.1,286.2,1302,1302,2339.5,0,2823.4,2125.7,-127.2,1998.5,3862,9071.2,937.7,4195,4876.2,-206.3,-750.2,1998.5,2339.5,-206.3,-206.3,0,0,7699.6
HON UW Equity,142034.791,34937,34937,23637,11300,,6132,7436,-851,1195,7327,9528,350,109,-1074,7156,1595,5375,5375,7965,630,17947,5571,-806,4765,22525,60287,18109,41950,18337,826,-10035,5385,7449,826,826,0,630,36284
HPE UN Equity,18560.66067,27979,27979,18647,9332,26508,1471,2578,-2450,2503,3974,4460,185,0,-2432,2636,196,3725,4238,3762,53,13880,4513,-2892,1621,19521,57675,21299,37011,20664,-2303,-3413,-107,3762,-2303,-2303,0,53,34544
HPQ UN Equity,29021.3356,64857,64857,51974,12883,59710,5147,5678,-2174,771,5918,6450,292,0,-2466,5256,1017,6304,6304,5386,0,12210,5407,-819,4588,22996,39247,26809,41565,-2318,-1073,-2387,1975,5386,-1073,-1073,0,0,9892
HRL UN Equity,25911.61358,12630.082,12630.082,10453.733,2176.349,,1303.124,1303.124,30.286,257.484,1560.608,1560.609,60.502,0,-30.216,1272.838,270.873,1001.841,1001.903,868.658,5.272,3303.094,1327.305,-282.239,1045.066,3403.484,13140.418,1419.899,5773.47,7366.948,-267.346,-500.979,1045.066,850.344,-267.346,-267.346,0,5.272,10670.042
HSIC UW Equity,10011.54397,12606.522,12457.522,8795.018,3811.504,,875.561,856.14,24.512,218.695,1121.855,1075.835,35.189,10.702,0.025,855.628,198.361,638.233,638.233,123,1197,1388,624.639,-97.309,527.33,3957,8534,2146,3726,4808,-409.216,-211.591,527.33,123,-409.216,-409.216,0,1197,6196
HST UW Equity,12391.43104,4642,4642,,,,676,703,-160,663,1339,1376,176,0,-338,826,19,806,806,883,170,4784,1270,-159,1111,,12167,,5185,6982,172,-1547,1111,883,-1055,-1055,0,170,11766
HSY UN Equity,47276.65958,10093.084,10093.084,5726.238,4366.846,,2193.313,2325.801,296.423,362.131,2603.879,,133.801,2.069,164.691,1900.33,308.578,1584.077,1584.077,327.741,0,5213.852,2239.361,-510.95,1728.411,2692.734,10832.907,3388.614,7749.827,3083.08,-1893.065,-682.637,1728.411,327.741,-1893.065,-1893.065,0,0,8296.932
HUM UN Equity,70546.75997,91485,91749,74546,16939,87748,3737,3124,158,822,4559,3694,384,0,-226,4086,769,2807,2807,26682,63,10834,9618,-1233,8385,33711,50765,25051,34448,16317,-96,-268,8385,13558,-96,-96,0,63,27151
HWM UN Equity,15274.24765,5435,5435,3931,1504,,846,928,310,265,1172,1236,230,2,88,722,101,433,435,453,55,4282,581,-209,372,2846,9929,1381,6656,3273,-143,-710,356,453,-143,-143,55,0,7555
IBM UN Equity,126532.4817,60533,60534,27978,32555,,7221,10569,6508,5046,12267,15698,1206,111,6494,9535,-661,1261,1302,9569,71,53826,9014,-1387,7627,28999,125850,30466,105703,20147,-3558,-5288,7428,7816,-3558,-3558,0,71,73973
ICE UN Equity,55665.25699,7364,7364,,,3710,3654,4402,301,1018,4672,5826,542,43,-198,6521,766,2548,3760,1183,41,18387,3455,-449,3006,173712,211292,166321,188872,22420,-4019,81284,2302,1183,-4019,-4019,0,41,40807
IDXX UW Equity,31718.06555,3339.846,3339.846,1364.014,1975.832,,871.429,871.429,32.789,110.875,1013.804,950.448,33.788,0.999,0,838.64,168.987,669.653,669.653,99.176,0,1419.849,579.52,-131.397,448.123,1058.859,2640.067,1189.945,2164.068,475.999,-190.161,-435.386,448.123,99.176,-190.161,-190.161,0,0,1895.848
IEX UN Equity,16980.30843,3086,3086,1690.6,1395.4,,738.4,738,-0.7,116.238,890.184,854.5,38.2,0,-38.9,751.7,163.7,575.7,575.7,680.7,-0.2,1299.1,553.171,-75.463,477.708,1635,4892.6,506.5,2090,2802.6,-298.331,-380.686,692.961,680.7,-298.331,-298.331,0,-0.2,4101.7
IFF UN Equity,23448.87872,12627,12596,8364,4263,,,1170,,,,2543,305,,-57,1078,242,-1756,-1756,,140,12194,,,,6987,39658,3633,18436,,,,,538,,,0,140,
ILMN UW Equity,34090.05619,4698,4698,1582,3116,,,748,72,,,1017,,,,-85,70,-4153,-3527,,0,2540,,-269,,2713,15217,1093,4477,,-489,,,1000,-489,-489,0,0,
INCY UW Equity,16988.22687,3330.788,3330.788,191.708,3139.08,2710.707,620.081,815.055,51.56,64.495,688.076,,2.751,0,48.809,822.564,-307.529,876.05,876.05,2977.122,0,50.572,801.63,-91.023,710.607,3821.111,5510.214,1006.596,1283.563,4226.651,-123.677,13.567,710.607,2690.622,-123.677,-123.677,0,0,4277.223
INTC UW Equity,117021.0831,69540,69540,37165,32375,23920,8455,12364,-5303,12822,21277,29264,481,348,-5436,9561,457,13301,13301,28381,0,39523,13527,-26983,-13456,49263,174841,27813,74956,99885,-12080,-4788,4951,4529,-12080,-12080,0,0,139408
INTU UW Equity,107068.2753,12726,12726,2406,10320,10155,2571,4504,29,746,3405,4691,81,15,-37,4426,476,2066,2066,3281,0,7540,3889,-229,3660,5047,27734,3630,11293,16441,-5421,1710,3660,2796,-5421,-5421,0,0,23981
INVH UN Equity,18440.12276,2178.51,2175.226,,,,,661.409,,633.069,,1287.865,304.804,,,,0,357.882,357.005,,31.223,8011.915,,,,,18537.846,,8699.042,,,,,300.312,,,0,31.223,
IP UN Equity,11936.28599,21114,21114,15134,5980,,1416,1646,183,1066,2482,2779,363,21,-159,1531,-389,1929,1929,511,0,5774,1520,-810,710,6622,24865,4805,15377,9488,-423,-4207,710,511,-423,-423,0,0,15262
IPG UN Equity,11791.72534,10874,9789.3,1426.2,9447.8,9480.1,1393.9,1442.8,104.5,277,1670.9,1667.2,163.3,45.8,-13,1310.3,276.6,998.7,998.7,1768.3,61.6,4606.3,808.2,-190.4,617.8,8534.9,16875.2,8169.2,13409,3466.2,-196.4,-1333.6,617.8,1768.3,-196.4,-196.4,0,61.6,8072.5
IQV UN Equity,38719.36644,14307,14307,9339,4968,,1883,2554,419,1035,2918,3254,378,9,-1,2402,271,1182,1182,1361,0,12653,2392,-687,1705,4752,24223,5253,18876,5347,-2176,-412,1705,1274,-2176,-2176,0,0,18000
IR UN Equity,21242.40411,5711.4,5711.4,3530.8,2180.6,,684.8,920.6,63.6,439.8,1124.6,1356.7,88.2,,-13.9,765.3,57,680.3,682.8,1459.5,64.1,2791.4,740.8,-84,656.8,3744.8,14225.6,1523,5410.6,8815,-262.3,-1052,673.5,1459.5,-262.3,-262.3,0,64.1,11606.4
IRM UN Equity,14710.12983,4984.112,4984.112,2128.217,2855.895,3986.037,998.075,1023.324,424.804,727.837,2175.83,1785.868,463.254,7.478,37.475,573.271,75.314,496.192,498.144,155.223,98.459,12986.183,855.92,-788.907,67.013,1556.849,15694.716,1725.912,15067.056,627.66,-1457.288,595.152,67.013,155.223,-1457.288,-1457.288,0,98.459,13613.843
ISRG UW Equity,84996.05829,6117.9,6117.9,1972,4145.9,2490.9,1655,2206.9,-11.3,340.5,1995.5,2385.7,,,0,2083.9,275.9,1378,1378,4313.9,58.6,0,1620.6,-545.6,1075,6293.1,13260.8,1233.4,1686.8,11574,155,-1583.4,1075,1538,155,155,0,58.6,11574
IT UN Equity,25748.51267,5277.429,5301,1618.005,3659.424,4324.242,953.187,1114.1,53.015,194.949,1223.884,1357,,,-69.884,836.2,139.787,760.385,761.8,528.687,0,3174,1133.017,-91.64,1041.377,1980.255,6525.954,3085.893,6590.88,-64.926,-93.399,-1280.593,1042.2,528.687,-93.399,-93.399,0,0,3109.074
ITW UN Equity,65940.62924,15640,15640,9311,6329,,3638,3638,125,415,4053,,196,,-71,3513,777,2736,2736,774,1,7628,2311,-335,1976,6196,15226,4392,12212,3014,-1045,-2479,1307,774,-1045,-1045,0,1,10642
IVZ UN Equity,7494.850132,6368.9,6368.9,,,4787.1,1611.4,1853.4,,197.1,1808.5,,,0,177.6,1695.3,363.3,922.9,922.9,1023.6,5599.8,8113.3,236,-155.4,80.6,,29271.9,,12768.4,16503.5,-506.5,-813,80.6,1023.6,-506.5,-506.5,4000,1599.8,24616.8
J UN Equity,15163.37499,14628.264,14628.264,11309.141,3319.123,,860.826,1269.837,93.96,297.818,1296.915,1448.274,87.476,3.694,10.178,1232.392,220.89,461.977,510.511,1102.284,711.64,4379.145,399.873,-107.197,292.676,4554.155,14722.21,3189.333,8077.277,6644.933,-149.899,-114.284,292.676,1102.284,-149.899,-149.899,0,711.64,11024.078
JBHT UW Equity,18397.56495,14661.348,14661.348,12731.89,1929.458,13289.24,1372.108,1372.108,48.687,614.168,1986.276,1986.276,,,0,1323.421,313.163,1010.258,1010.257,84.334,0,1243.814,1609.455,-1462.727,146.728,2152.416,7431.559,1500.724,3926.45,3505.109,-1501.993,-552.723,146.728,84.334,-1501.993,-1501.993,0,0,4748.923
JCI UN Equity,44710.6789,25299,25299,16956,8343,,1677,2876,-33,830,2507,6971,213,0,0,1710,-13,1532,1618,2031,1134,8960,1986,-592,1394,11685,42158,11239,24756,17402,-693,-569,1398,2031,-693,-693,0,1134,26362
JKHY UW Equity,13204.92419,1942.884,1889.331,1128.614,814.27,1468.265,474.619,427.988,2.352,177.624,662.968,605.598,2.384,0.032,0,472.267,109.351,362.916,362.916,48.787,0,166.586,504.631,-34.659,469.972,613.524,2455.564,543.83,1073.941,1381.623,-196.344,-310.492,469.972,48.787,-196.344,-196.344,0,0,1548.209
JNJ UN Equity,454841.7163,96041,96041,31279,64762,,23263,30917,903,7041,30304,,159,249,993,30801,3203,19157,19157,34079,0,32027,21576,-3837,17739,65236,175124,45543,100525,74599,-13334,-14491,17739,11355,-13334,-13334,0,0,106626
JNPR UN Equity,9759.384478,5152.3,5152.3,2270.6,2881.7,2412.2,469.5,796.1,-23.1,223.5,693,982.8,53.4,15.8,-60.7,708.4,66.5,423.5,423.5,1057.1,0,1719,94,-103.9,-9.9,3208.7,8976.2,1896.7,4638.1,4338.1,346.8,-624,-9.9,830.9,346.8,346.8,0,0,6057.1
JPM UN Equity,386009.7812,138058,127060,,,,45586,,,7311,,,,54891,0,45586,8519,35222,35676,1139281,32838,728766,90992,0,90992,,3773884,,3485866,288018,-186447,-20227,90992,24654,-186447,-186447,32838,0,1016784
K UN Equity,24357.23626,14903,14903,10442,4461,,1629,1815,-270,472,2101,2287,200,0,-470,1685,412,1491,1491,373,455,7276,1736,-495,1241,4444,19016,6033,14278,4738,-455,-1348,1241,373,-455,-455,0,455,12014
KDP UW Equity,53534.29832,13645,13645,6546,7099,,2657,3421,387,715,3501,3789,689,0,-302,2982,445,1826,1826,925,-1,13156,3039,-358,2681,4325,51440,7233,26339,25101,347,-2661,2864,925,347,347,0,-1,38257
KEY UN Equity,17129.3223,7776,7321,,,,2631,,,,,,,3813,0,2446,487,2046,2042,717,2500,27057,2874,-95,2779,,190051,,176761,13290,-9350,6430,2779,717,-9350,-9350,2500,0,40347
KEYS UN Equity,29322.5891,5271,5311,1894,3377,3967,1304,1512,50,225,1579,1657,79,7,-22,1382,147,1107,1107,1847,0,2024,1114,-200,914,3961,7852,1312,3932,3920,-305,-1116,1123,1847,-305,-305,0,0,5944
KHC UW Equity,46596.34456,25813,25813,17893,7920,5532,2388,4275,993,918,3306,5866,1308,0,-315,3512,169,1216,1216,997,195,20070,4433,-882,3551,7860,89992,8686,41649,48343,256,-5965,3551,997,256,256,0,195,68413
KIM UN Equity,13095.90758,1712.504,1712.504,,,,535.667,542.432,292.728,513.957,1063.146,1125.528,223.355,0,194.116,89.898,-0.613,231.771,244.728,123.531,635.922,7325.044,907.361,-358.94,548.421,,17915.569,,8062.451,9853.118,-338.098,-929.203,548.421,123.531,-338.098,-338.098,485.868,150.054,17178.162
KLAC UW Equity,48359.96052,9852.469,9852.469,3820.043,6032.426,,3946.084,4331.817,153.167,380.458,4363.442,4510.579,196.422,0,-43.255,3911.124,513.277,3279.381,3279.809,2953.52,0,6423.239,3460.45,-322.717,3137.733,7643.939,13123.652,3139.364,11021.578,2102.074,-754.627,-2396.107,3137.733,1819.28,-754.627,-754.627,0,0,8525.313
KMB UN Equity,42000.89007,20176,20176,14148,6028,,2490,2571,325,762,3252,3333,270,9,64,2229,449,1784,1784,362,146,8587,2804,-952,1852,5625,17836,7197,16993,843,-837,-1891,1852,362,-837,-837,0,146,9430
KMI UN Equity,41077.48549,19046,19046,14515,4531,15135,3911,3869,692,2125,6036,7363,1457,0,-2,3176,633,2507,2515,483,1379,31741,4999,-1531,3468,3819,69992,6148,37857,32135,-2107,-2448,3468,483,-1939,-1939,0,1379,63876
KMX UN Equity,10180.93813,33670.878,33670.878,30510.793,3160.085,,1164.907,1220.555,103.522,281.791,1535.208,1331.876,112.671,0,-9.149,,253.941,807.444,807.444,56.772,-16094.593,19454.166,-684.54,-375.159,-1059.699,5872.459,26470.543,2132.189,21056.316,5414.227,-350.824,1013.462,-1059.699,56.772,-350.824,-350.824,0,0,24868.393
KO UN Equity,256962.5702,42343,42372,17575,24768,,10506,12117,-1640,1294,11800,13411,743,377,-571,13370,2181,9925,9925,13220,1631,39587,11462,-1415,10047,24139,92471,21439,68035,24436,-6873,-5768,10047,10127,-6873,-6873,0,1631,64023
KR UN Equity,33753.8461,144146,144146,113021,31125,,4292,4358,1262,2890,7182,7227,572,,690,3050,578,2444,2444,1102,-18,20382,5494,-2725,2769,11909,48741,16566,39102,9639,-2715,-3902,2769,1102,-2715,-2715,0,-18,30021
L UN Equity,13189.07256,13912,,,,12548,1648,,,,,,,,0,,278,991,,886,807,9289,3365,-592,2773,,75111,,60458,14653,-2542,-1022,2773,886,-2542,-2542,0,807,23942
LDOS UN Equity,14834.91745,14190,14190,12119,2071,,1093,1158,203,330,1423,1828,194,0,9,955,201,682,682,807,53,5593,1091,-109,982,3841,13099,4141,8960,4139,-92,-799,982,807,-92,-92,0,53,9732
LEN UN Equity,22122.42629,31930.203,31930.203,22883.728,9046.475,23972.283,6667.237,6520.875,830.589,78.03,6817.724,,20.243,,745.254,6231.913,1338.431,4429.52,4482.172,1309.364,150.26,4218.103,1771.879,-52.747,1719.132,24849.92,35339.877,3214.51,12212.339,23127.538,-105.385,-2927.154,1719.132,1309.364,-105.385,-105.385,0,150.26,27345.641
