indx_members,cur_mkt_cap,cash_and_marketable_securities,preferred_equity_and_minority_int,short_and_long_term_debt,sales_rev_turn,gross_profit,ebitda,earn_for_common,cf_cash_from_oper,capital_expend,cf_free_cash_flow,is_oper_inc,bs_cur_asset_report,bs_tot_asset,bs_cur_liab,bs_tot_liab2,total_equity,cf_cash_from_inv_act,cf_cash_from_fnc_act,is_comp_sales,headline_fcf,bs_cash_near_cash_item,is_cogs_to_fe_and_pp_and_g,is_tot_oper_exp,is_comparable_ebit,is_non_operating_inc_loss_gaap,cf_depr_amort,is_comparable_ebitda,is_int_expense,is_int_inc,is_other_nonop_inc_loss_gaap,is_comp_ptp_ex_stk_based_comp,is_inc_tax_exp,is_comp_net_income_gaap,cb_cf_net_cash_investing_act,cb_cf_net_cash_financing_act
CPRT UW,30835.66169,1539.391,0,115.722,3584.161,1590.674,1529.723,1075.615,1175.702,-425.407,750.295,1356.379,2364.605,5593.677,504.477,740.843,4852.834,-530.897,-403.787,3584.201,750.295,1539.391,1993.487,2227.782,1356.379,28.148,145.883,1502.262,#VALUE!,#VALUE!,20.989,1331.218,252.616,1075.615,-530.897,-387.1
CPT UN,12432.88687,62.027,70.369,3688.041,1359.283,#VALUE!,795.453,819.901,737.529,-495.496,242.033,247.901,#VALUE!,9414.125,#VALUE!,4305.763,5108.362,-1396.715,963.775,1352.211,242.033,62.027,#VALUE!,#VALUE!,#VALUE!,-586.809,546.252,798.225,107.338,0,-213.828,657.201,2.814,824.079,-451.621,313.61
CRL UN,12300.93288,194.651,45.091,3352.599,3781.267,1410.879,965.66,436.394,614.141,-334.484,279.657,659.972,1415.352,7382.769,1014.194,4710.825,2671.944,-642.998,-1.471,3781.267,279.657,193.701,2370.388,#VALUE!,798.232,118.264,293.566,1281.525,36.058,0.746,82.952,505.618,98.379,438.598,-642.998,-12.413
CRM UN,148490.0055,13533,0,14319,29320,21290,4791,536,6396,-715,5681,75,21246,94148,20080,34050,60098,-5269,-495,29320,5681,6931,8030,21215,5298,-179,3707,8875,290,0,-469,2846,-282,536,-5269,-430
CSCO UW,198400.4192,19784,0,8878,52289,32541,16205,11502,13761,-531,13230,14071,36141,93054,24896,52782,81667,1774,-15122,52289,13230,7292,19748,18470,17393,-224,1839,20181,371,524,-71,17159,2793,11502,1836,-14847
CSGP UW,32307.45936,4774.465,0,1111.894,2115.84,1724.696,647.938,337.981,444.102,-119.017,325.085,464.172,5006.587,8205.863,325.906,1498.951,6706.912,-160.324,729.1,2116.054,325.085,4774.465,391.144,1260.524,672.173,3.879,147.151,682.618,29.696,21.312,-4.505,527.311,122.312,337.981,-160.324,733.192
CSX UW,67256.05476,2399,9,18537,14550,#VALUE!,7397,4082,5535,-2008,3527,5930,4310,42242,2508,29359,12883,-2058,-3345,14550,3806,2311,#VALUE!,8620,5929,615,1467,7397,723,#VALUE!,-108,5315,1233,4082,-2058,-3345
CTAS UW,46355.43995,74.558,0,3169.618,8123.963,3757.602,2110.987,1254.772,1573.64,-261.94,1311.7,1633.389,2747.79,8261.026,1599.541,5031.4,3229.626,-404.909,-1173.922,8123.963,1311.7,74.558,4366.361,#VALUE!,1603.238,94.369,401.798,2035.187,94.71,0.341,0,1539.02,282.753,1256.267,-404.909,-1174.058
CTLT UN,7405.501962,345,0,4204,4825,1574,1074,422,184,-655,-471,678,2698,10205,943,5505,4700,-1833,-39,4825,-471,281,3251,#VALUE!,678,173,396,1220,#VALUE!,#VALUE!,-5,505,79,426,-1833,23
CTRA UN,21596.12026,778,11,2686,8996,5642,6759.014,3972,4924.337,-1473.96,3450.377,5153,2350,20305,1415,7635,12670,-411.279,-3811.618,8996,1820.538,778,3354,3840,4756,57,1606.014,6362,83,0,-26,4670,1124,3972,-411.279,-3811.618
CTSH UW,30454.9832,2731,0,1520,19366,7040,3586,2345,2691,-307,2384,3014,7317,17347,3223,5389,11958,-526,-1787,19366,2384,2042,12326,#VALUE!,3014,-25,572,3586,13,39,-1,3039,699,2345,-526,-1704
CTVA UN,47499.4589,2318,240,2853,17109,6951,3161,1361,1400,-620,780,1925,15045,40651,8918,15567,25084,-600,-1321,17218,780,2199,10158,#VALUE!,2175,51,1236,3116,51,94,-18,1858,462,1981,-600,-968
CVS UN,131015.6396,19989,328,71072,315225,54133,10670,3153,22134,-2636,19498,6357,68341,231212,72409,160201,71011,-6368,-11160,315225,19498,17197,261092,308868,17673,2268,4313,19311,2343,0,-75,7330,928,3154,-6368,-11160
CVX UN,359985.4846,15431,947,23641,227055,47240,53173,34167,46562,-10745,35817,36805,51503,259735,36883,100108,159627,-9785,-27105,237908,35817,15164,179815,191057,#VALUE!,-10046,16368,#VALUE!,548,124,-1851,46851,12539,34167,-9785,-26819
CZR UW,10537.34155,944,54,25492,10591,5018,2567,-1185,704,-924,-220,1373,1936,33594,2426,29702,3892,-413,-1938,10591,-220,944,5573,9218,1626,2339,1194,2867,2241,0,98,-980,-163,-1026.6,-413,-1910
D UN,50246.49423,163,1783,43303,16141,11432,5711,2305,3173,-7222,-4049,2667,8699,103535,12172,74962,28573,-4159,1059,16141,-4049,163,4709,13474,4233,355,3044,6989,926,#VALUE!,-571,3878,468,2666,-4159,1059
DAL UN,21902.99435,8368,0,30836,46617,#VALUE!,4512,82,5731,-5384,347,2455,14799,72596,25870,68006,4590,-2669,-5397,41742,5363,7023,#VALUE!,44162,2452,2055,2057,4510,1056,0,991,1631,318,82,-2669,-5397
DD UN,35147.81807,1785,541,12236,14184,4972,3246,1846,1335,-742,593,1914,14350,44099,6014,18596,25503,141,-1272,14184,593,1785,9212,#VALUE!,2758,309,1270,3476,505,8,-144,2415,383,1564,141,-1066
DE UN,125520.7492,5078,-40640,51228,48368,15435,10701,6168,3830,-3191,639,8777,22894,86817,32082,67686,19131,-7078,94,43841,639,4359,32933,40513,7648,922,1924,#VALUE!,922,0,0,7855,1695,6169,-7078,288
DFS UN,29666.85406,10004,1056,20177,13876,#VALUE!,7652,4339,6307,-226,6081,5749,#VALUE!,121886,#VALUE!,107600,14286,-16014,8829,12541,6081,10004,#VALUE!,5053,#VALUE!,#VALUE!,568,#VALUE!,#VALUE!,11646,0,5749,1323,4339,-16014,8829
DG UN,57868.17329,326.263,0,15492.727,35346.352,11106.265,5347.196,2315.151,2496.283,-1210.778,1285.505,3121.84,7682.892,28239.256,7566.786,22050.765,6188.491,-1205.514,-1278.172,35395,1285.505,326.263,24240.087,#VALUE!,3121.84,160.478,678.356,3800.159,160.478,0,0,2961.362,646.211,#VALUE!,-1205.514,-1278.172
DGX UN,16735.76278,700,37,4640,10294,3701,2256,1230,1865,-401,1464,1829,2334,13223,1602,6951,6272,-596,-1556,10294,1464,700,6593,8465,1991,201,427,2418,149,6,99,1650,382,1233,-596,-1556
DHI UN,28452.91464,2540.5,389.3,6114.8,33480,10504.1,7651.8,5857.5,561.8,-148.2,413.6,7570.4,24228.6,30351.1,4498.6,10565.5,19785.6,-414.9,-811.2,33480,413.6,2540.5,22975.9,#VALUE!,7570.4,-59.3,81.4,7651.8,0,162.5,103.2,7629.7,1734.1,5857.5,-414.9,-811.2
DHR UN,190951.8946,5150,1676,20247,31250,18953,10803,6640,8311,-1243,7068,8546,14250,81030,8002,34037,46993,-2297,-3416,31250,12244,5150,12297,#VALUE!,10149,362,2257,10812,203,13,172,9984,1419,6662,-2297,-3086
DIS UN,175040.8913,11615,13370,48369,82722,6770,11029,3145,6010,-4943,1067,5866,29098,203631,29073,95253,108378,-5008,-5344,82722,1059,11615,75952,#VALUE!,12121,581,5163,17284,1549,152,0,9565,1732,3553,-5008,-4729
DISH UW,8125.112099,1089.136,447.167,22110.064,17082.692,5581.232,3345.765,1920.042,2913.087,-2304.833,608.254,2384.34,2941.863,49003.024,5939.922,31565.891,17437.133,-7503.466,3131.039,17086.071,-248.564,817.512,11501.46,14698.352,2697.149,-122.611,690.086,3387.235,15.586,21.974,-116.223,2506.987,523.101,1920.21,-7503.466,3131.039
DLR UN,32046.61388,176.969,2184.92,17122.221,4569.894,#VALUE!,2127.17,1400.868,#VALUE!,#VALUE!,#VALUE!,600.484,#VALUE!,39215.217,#VALUE!,20230.276,18984.941,#VALUE!,#VALUE!,4569.894,#VALUE!,176.969,#VALUE!,#VALUE!,673.817,-922.663,1526.686,2343.785,284.012,0,-1199.773,#VALUE!,53.187,1400.869,#VALUE!,#VALUE!
DLTR UW,33716.25552,439,0,10353,27691.6,8685.7,2990.7,1617.4,931.4,-1268,-336.6,2197,6446.6,22909.5,4683.1,14634.2,16029,-1281.4,502.1,27679.4,-336.6,439,19005.9,#VALUE!,2234.244031,177.2,760.1,3183.244031,#VALUE!,#VALUE!,0.4,2057.044031,402.4,1617.4,-1281.4,504.8
DOV UN,19862.8916,306.002,0,3631.522,8358.142,3018.714,1612.109,1164.582,794.36,-216.347,578.013,1309.414,3377.045,10652.341,2888.754,6660.915,3991.426,-1108.172,-119.33,8358.142,578.013,306.002,5339.428,#VALUE!,1466.174,-115.391,302.695,1769.996,109.732,4.321,-220.802,1307.337,260.223,1164.429,-1108.172,-108.661
DOW UN,36278.78978,2216,512,14759,59407,9947,10033,5696,7972,-2566,5406,6857,19777,59557,12315,40928,18629,-2718,-5913,59407,6275,2216,49460,#VALUE!,8254,-486,2759,11013,657,125,-531,7645,1589,5688,-2718,-5610
DPZ UN,13329.28247,130.209,0,5384.15,4488.14,1642.94,866.603,449.646,514.941,-94.028,420.913,741.795,826.398,1646.409,578.737,5962.954,-4316.545,-111.074,-615.115,4488.14,405.731,114.776,2845.2,#VALUE!,741.795,162.578,78.73,820.501,198.144,1.308,-34.258,579.217,129.571,449.646,-111.074,-598.948
DRI UN,18141.43323,377.5,0,5926.9,9770.1,1942,1501.3,914.9,1502.3,-417,1085.3,1126.3,941,10014.5,1825.3,7950.4,2064.1,-423.4,-1642.3,9770.1,0,377.5,7828.1,8643.8,1126.3,73.4,375,1496.1,72.9,0,0.5,1052.9,136.3,916.6,-423.4,-1642.3
DTE UN,22047.8254,26,-19,19751,19399,6085,3201,1124,2107,-3472,-1365,1701,4310,41954,5466,32968,8986,-3536,1424,18175,-1365,26,13314,17698,1862.5,589,1500,#VALUE!,639,32,-18,1256,-6,1124,-3536,1424
DUK UN,75429.1993,453,3786,73919,28023,18918,11671,3826,6251,-10774,-4523,5783,12972,176340,16912,124171,52169,-11365,5000,28023,-4523,453,9105,22240,5788.063291,1863,5888,11102.06329,2407,#VALUE!,-544,3912,173,3999,-11365,5000
DVA UN,6444.85289,441.815,1540.208,12036.676,11636.973,3455.883,2185.522,679.77,1750.736,-598.947,1151.789,1472.225,3202.442,16961.799,2537.409,14888.919,2072.88,-753.631,-1673.5,11636.973,1032,367.51,8181.09,10164.748,1511.023,338.5,713.297,2224.364,328.144,#VALUE!,10.356,1133.725,229.265,738.503,-753.631,-1664.591
DVN UN,44621.5634,1310,134,6480,19143,8466,10153,6286,8235,-4819,3416,7978,4009,23557,3460,12550,11007,-4812,-4434,19143,7489,1310,10677,11259,7092,94,2175,9267,369,41,-234,6748,1539,6327,-4812,-4422
DXC UN,6745.512268,2260,321,6168,15370,3325,#VALUE!,757,#VALUE!,#VALUE!,#VALUE!,#VALUE!,7446,20139,6853,14764,5273,#VALUE!,#VALUE!,15370,648,2260,12045,#VALUE!,1225,#VALUE!,#VALUE!,2850,162,77,#VALUE!,1140,369,757,#VALUE!,#VALUE!
DXCM UW,42855.33779,2371.9,0,2132.2,2792.8,1814.4,419.9,230,644.6,-381.5,263.1,266.4,3398.5,4899.2,900.5,3074.7,1824.5,-823.5,-565.4,2792.8,263.1,698.1,978.4,1548,412,23.5,153.5,668.9,39.1,4.8,1,317.2,12.9,230,-823.5,-552.3
EA UW,35622.63226,1874,0,2224,7285,5459,1863,901,1788,-213,1575,1335,3442,13079,2561,5281,7798,-201,-1678,7531,1865,1539,1826,4124,2293,25,528,2733,49,0,-24,2606,409,901,-201,-1617
EBAY UW,24441.36578,4736,0,8302,9898,7205,2930,28,1863,-399,1464,2473,5289,19097,3974,14244,4853,6540,-7918,9898,2780,2037,2693,4732,3015,6064,457,3354,#VALUE!,#VALUE!,6064,2141,-753,-2837,6540,-7823
ECL UN,42054.86132,112.9,27.3,8950.7,13881.2,5262,2468.8,1128.3,1570.1,-729.3,840.8,1551,5099.3,21037,3772.3,13947.1,7089.9,-4447.6,2092.5,13881.2,840.8,112.9,8619.2,#VALUE!,1766.1,179.7,917.8,#VALUE!,225.9,7.2,-39,1548.6,226.6,1128.3,-4447.6,2086.9
ED UN,33676.48482,992,145,25364,15055,11438,#VALUE!,1694,3638,#VALUE!,#VALUE!,#VALUE!,5551,63116,5427,42780,20336,#VALUE!,#VALUE!,15055,#VALUE!,992,3617,#VALUE!,2612.555696,#VALUE!,#VALUE!,4656,941,#VALUE!,#VALUE!,2118.555696,326,1657,#VALUE!,#VALUE!
EFX UN,23871.57174,241.7,16.6,5882.1,5177.4,3013.7,1690.9,710.2,796.8,-604.5,192.3,1132.1,1294.9,11308,2018.7,7532.4,3775.6,-2765,164.2,5177.4,192.3,241.7,2163.7,4045.3,1073.2,205.6,558.8,1753.8,166.9,1.4,40.1,968,212.4,710.2,-2765,191.8
EIX UN,23836.61645,232,3878,31861,16535,10553,3903,720,2539,-5630,-3091,1338,6441,76709,10820,59416,17293,-5602,2771,16535,-3091,232,5982,15197,2737,787,2565,5221,1050,#VALUE!,-263,633,-374,880,-5602,2771
EL UN,79294.4019,2938,808,7494,17275,13004,3618,2187,2471,-987,1484,2896,8866,19989,5271,13664,6325,-806,-2722,17277,1484,2938,4271,10108,3048,124,722,4134,171,41,-6,2917,569,2187,-806,-2626
ELV UN,120851.5304,35901,52,24693,153247,26854,10668,6213,11589,-1194,10395,8853,55603,103026,41287,66983,36043,-5815,-2392,152011,10395,8872,126393,145232,9239,838,1562,10630,822,#VALUE!,16,8437,1832,6213,-5815,-2375
EMN UN,10379.16649,461,83,5256,10901,2320,2199,1170,948,-648,300,1661,4105,14985,3207,9518,5467,1016,-2220,10901,300,461,8581,#VALUE!,1461,183,482,1943,186,4,6,1237,304,1170,1016,-2204
EMR UN,56744.8282,1804,5952,10866,19629,8188,5502,3231,2922,-531,2391,4278,8506,35672,7777,19356,16316,-5334,1862,19600,2391,1804,11441,#VALUE!,4522,193,1039,5317,228,35,0,4686,855,3231,-5334,2048
ENPH UQ,43286.21958,1417.296,0,1309.429,2018.92,827.208,416.797,296.2,588.276,-43.222,545.054,348.996,1982.664,2697.835,550.236,2087.782,610.053,-810.293,-325.946,2018.92,545.187,337.583,1191.712,478.212,558.628,14.585,56.441,615.069,19.848,5.35,0.087,334.411,38.211,296.2,-810.293,-320.348
EOG UN,84325.63461,5272,0,5554,25655,17700,13215,7467,10815,-4652,6163,9641,10201,40487,5746,16638,23849,-4496,-5340,25027,6163,5272,7955,15386,9712,100,3574,#VALUE!,175,#VALUE!,-75,9541,2074,7467,-4496,-5340
EPAM UN,19562.63865,1547.815,1.478,197.29,4700.859,1519.637,717.394,406.656,562.649,-116.751,445.898,568.156,2527.986,3735.603,727.957,976.959,2758.644,-362.22,-136.342,4700.859,445.898,1487.599,3181.222,#VALUE!,712.067,102.111,92.723,804.784,#VALUE!,#VALUE!,-1.286,609.956,59.389,406.656,-362.22,-55.125
EQIX UW,60413.50612,2500.816,-0.286,16023.528,7098.638,3407.402,3106.525,698.856,3095.098,-2315.878,779.22,1168.053,4017.055,29325.866,1695.989,18171.773,11154.093,-3112.123,1133.335,7098.638,1111.613,2500.816,3691.236,5020.15,1264.063,351.354,1724.903,3318.537,342.364,18.936,27.926,816.699,117.884,698.856,-3112.123,1275.269
EQR UN,23752.20355,44.788,624.827,7807.739,2680.607,#VALUE!,1642.725,1141.775,1402.199,-1106.059,296.14,726.66,#VALUE!,20265.405,#VALUE!,8633.131,11632.274,118.305,-1625.786,2680.607,296.14,44.788,#VALUE!,#VALUE!,1515.566,-476.92,890.136,#VALUE!,295.819,0,-776.565,1207.022,0.961,1141.775,#VALUE!,-1625.786
EQT UN,16039.9107,87.541,39.639,4769.319,6285.82,2097.061,4601.926,1860.316,3572.704,-1395.665,2177.039,2855.568,3902.467,22541.137,6637.902,12882.536,9658.601,-1375.022,-2132.933,7857.555,2136.092,87.541,4188.759,5001.987,1863.907,400.088,1746.358,3610.128,270.494,0,129.594,2455.48,585.823,1860.316,-1375.022,-2132.933
ES UN,28258.1797,485.716,155.57,21843.935,11741.508,7180.103,3807.006,1391.415,2131.231,-3316.687,-1185.456,2148.735,3919.654,51599.425,5487.161,36164.682,15434.743,-3957.227,2210.123,11741.508,-1185.456,485.716,4561.405,9592.773,2148.735,350.733,1658.271,1792.001333,642.68,#VALUE!,-291.947,1798.002,399.067,1391.415,-3957.227,2210.123
ESS UN,13804.21717,42.711,207.003,6041.292,1563.227,#VALUE!,1004.088,360.024,1014.117,-334.718,679.399,468.348,#VALUE!,12624.33,#VALUE!,6713.895,5910.435,-371.572,-649.928,1537.622,679.399,42.711,#VALUE!,#VALUE!,514.778,85.458,535.74,1093.73,193.639,0,-15.973,#VALUE!,0,360.024,#VALUE!,-649.928
ETN UN,66042.06103,518,35,9455,20166,6621,3757,2291,2142,-552,1590,2803,8540,34364,6653,18261,16103,-1059,-1123,20166,2476,231,13545,#VALUE!,3135,119,954,#VALUE!,132,0,-13,2733,391,2491,-1059,-1146
ETR UN,22983.47878,1003.491,317.325,27606.611,13214.192,8351.859,4157.824,1269.102,2099.171,-6486.604,-4387.433,1943.447,5509.805,58975.295,6154.875,46561.619,12413.676,-6686.268,4590.552,13214.192,-4387.433,1003.491,4862.333,11270.745,2540.444,822.043,2214.377,4261.401,1008.757,#VALUE!,28.489,1719.145,-123.468,1255.589,-6686.268,4590.552
ETSY UW,14956.9096,1041.155,0,2389.742,2476.009,1748.226,-556.756,-642.279,682.321,-36.174,646.147,-655.655,1352.113,2450.311,497.246,3056.553,-606.242,-53.044,-458.689,2476.04,646.147,789.99,727.783,2403.881,494.352,-10.16,98.899,708.535,9.616,0.216,0,-645.495,-3.216,-642.279,-53.044,-427.828
EVRG UN,13642.48368,24.7,6.5,11664,5701.6,4053.3,2316.7,798.6,1793.4,-2192.4,-399,1308.2,1905.7,29247.6,3671.7,19632.1,9615.5,-2205.4,395.8,5701.6,-399,24.7,1648.3,4393.4,1109,404.2,1008.5,1882.5,384.6,#VALUE!,19.6,904,100.7,798.6,-2189.8,395.8
EW UN,45893.47892,1738.7,0,686.8,5363.8,4231.8,1812.3,1458.8,1309,-265.5,1043.5,1675.1,3513.9,8638.2,917.9,2420.4,6217.8,-808.3,-768.9,5363.8,-56.2,1247.8,1132,#VALUE!,1713,-9.3,137.2,#VALUE!,#VALUE!,#VALUE!,-5.8,1679.7,225.6,1458.8,-808.3,-808.1
EXC UW,39055.3929,446,-744,38663,24041,13858,7270,2129,3012,-7225,-4213,3222,7055,93455,8717,68873,24582,-6092,869,23085,-4213,446,10183,20819,#VALUE!,711,4048,6751,1452,#VALUE!,-577,#VALUE!,497,#VALUE!,-6092,869
EXPD UW,18147.91338,2154.534,9.213,498.418,19026.099,4848.019,2173.507,1590.955,1947.973,-79.945,1868.028,2118.194,5587.556,6607.526,2706.25,3116.133,3491.393,-80.935,-1532.61,19026.099,1868.028,2154.534,14178.08,16907.905,2118.194,-22.49,55.313,2161.8997,0,14.658,-7.832,2140.684,540.805,1592.134,-80.935,-1427.841
EXPE UW,15529.12247,6628,1445,6552,11328,9688,1912,451,3907,-628,3279,1120,9270,21879,11119,18166,3713,-939,-3220,11328,3279,4588,1640,#VALUE!,1454,294,792,2379,301,37,15,1396,263,-403,-939,-2867
EXR UN,21045.76731,86.991,818.727,7227.366,1844.835,#VALUE!,1355.044,924.855,1171.189,-1990.379,-819.19,1092.605,#VALUE!,11840.645,#VALUE!,7771.347,4069.298,-1662.002,503.886,1844.835,-819.19,86.991,#VALUE!,#VALUE!,1092.605,87.56,270.59,1381.282,191.827,0,-65.006,965.784,19.51,924.855,#VALUE!,503.886
F UN,56487.94286,40173,-101320,129765,151736,17048,12963,9012,9206,-6573,2633,5454,108088,246919,90167,204830,42089,-1638,-13471,142451,9008,21548,134688,146282,8960,-1582,7509,15294,1379,408,-5087,7581,-1826,9012,-1638,-12622
FANG UW,26651.46323,27,715,5357,8411,5606,6643,4381,6051,-2833,3218,5344,1031,23843,1678,9285,14558,-2168,-4390,8190,3218,27,2805,3072,5386,-433,1299,6592,151,0,-519,5330,1192,4381,-2168,-4390
FAST UW,30006.88976,231.5,0,808.9,6816.9,3160.3,1597,1072.5,795.5,-172.9,622.6,1421.5,3195.6,4627.4,802.6,1466.2,3161.2,-163.1,-651.4,6816.9,622.6,231.5,3656.6,#VALUE!,1421.5,11.3,175.5,1588.9,11.7,0.4,0,1410.2,337.7,1072.5,-163.1,-635.1
FBHS UN,8271.643121,345.3,0,3529.6,8044.8,2877,1269.3,752.4,546.7,-276.3,270.4,1079.2,3007.6,8415.6,2047.9,5385.5,3030.1,-482,-181.3,8044.8,288.5,345.3,5167.8,#VALUE!,1118.1,103.1,190.1,1363.6,106.5,0,-3.4,1011.8,223.7,752.4,-482,-152.4
FCX UN,53942.81059,8578,9227,10690,23186,8397,9884,3877,6350,-3137,3213,7812,15373,49927,5999,25746,24181,-3114,-2331,23186,3213,8578,14789,15374,7846,660,2072,10380,594,0,66,7152,2335,3877,-3114,-2331
FDS UN,17223.06169,536.492,0,2220.231,1843.892,972.786,600.965,396.917,538.277,-51.156,487.121,475.482,870.347,4014.305,438.287,2682.897,1331.408,-2033.675,1316.806,1843.917,487.121,503.273,871.106,1368.41,624.395,31.888,86.683,628.179,29.522,0,2.366,539.75,46.677,396.917,-2033.675,1339.234
FDX UN,45738.83395,6850,0,37645,94751,20288,10061,3589,9355,-6477,2878,6038,19606,85826,13765,60686,25140,-6575,-2783,94668,2878,6850,74463,88713,6562,1445,4023,#VALUE!,618,0,827,#VALUE!,1004,#VALUE!,-6575,-2536
FE UN,22261.21143,251,438,21258,11942,7740,3230,1236,2544,-2465,79,1735,2312,44851,3493,33613,11238,-2751,-200,11982,79,251,4202,10207,#VALUE!,195,1495,#VALUE!,1032,#VALUE!,-817,#VALUE!,286,1246,-2751,-200
FFIV UW,9495.982537,894.11,0,664.671,2695.845,2156.218,566.703,322.16,442.631,-33.624,409.007,403.792,1912.224,5276.194,1839.951,2807.216,2468.978,218.116,-482.873,2695.845,409.007,758.012,539.627,1752.426,720.648,18.399,115.609,836.257,#VALUE!,0,18.399,702.249,63.233,322.16,218.116,-476.508
FIS UN,38569.66464,1932,187,18916,14487,5612,5402,937,3911,-343,3568,1448,10593,78317,13671,32802,45515,-1342,-2364,14487,3121,1932,8875,#VALUE!,4931,155,3954,6297,212,0,-57,4863,347,937,-1342,-1391
FISV UW,64150.53411,893,817,21375,17363,9148,6273,2081,4328,-1669,2659,3094,19875,75640,18724,44497,31143,-2199,-1346,16432,3352,893,8215,14269,5602,752,3179,7343,709,5,48,4199,445,2081,-2199,-1246
FITB UW,24902.45206,9662,2116,18870,8630,#VALUE!,#VALUE!,2258,5697,-425,5272,3010,#VALUE!,205463,#VALUE!,188727,16736,-6740,898,8143,5272,3068,#VALUE!,#VALUE!,#VALUE!,#VALUE!,302,#VALUE!,#VALUE!,4449,0,3006,639,2280,-6740,898
FLT UN,14113.25204,1317.544,0,7221.21,3345.774,#VALUE!,1725.164,954.012,1036.129,-144.706,891.423,1417.663,6586.068,14486.024,6638.165,12258.972,2227.052,-361.891,-382.295,3345.774,891.423,1317.544,#VALUE!,#VALUE!,1624.191,136.955,307.501,1757.564,#VALUE!,#VALUE!,18.26,1502.249,326.696,954.012,-361.891,-275.42
FMC UN,16118.59939,363.8,15.4,3708.8,5593.9,2255.9,1231,654.2,539.7,-132.1,407.6,1028.4,5110.6,10764.7,3632.2,7561.1,3203.6,-307.1,-209.8,5593.9,424.7,363.8,3338,4565.5,1183,151.8,169,1352,#VALUE!,#VALUE!,11.8,880.9,150.3,675.1,-307.1,-183.2
FOX UW,16224.02902,4950,257,7701,14121,#VALUE!,2966,1109,2125,-328,1797,2583,8495,22424,2362,10646,11778,-556,-2030,14121,1797,4950,#VALUE!,11538,2784,996,383,2983,342,19,673,1587,449,1109,-556,-2030
FOXA UW,16221.316,4950,257,7701,14121,#VALUE!,2966,1109,2125,-328,1797,2583,8495,22424,2362,10646,11778,-556,-2030,14121,1797,4950,#VALUE!,11538,2784,996,383,2983,342,19,673,1587,449,1109,-556,-2030
FRC UN,22240.06718,5532,3633,13827,6206.4,#VALUE!,#VALUE!,1530.4,1209.183,-212.193,996.99,2131.4,#VALUE!,205109,#VALUE!,187990,17119,-38507.75,30550.874,5796,996.99,5532,#VALUE!,#VALUE!,#VALUE!,#VALUE!,191.883,#VALUE!,#VALUE!,4417,0,2130,451,1529,-38507.75,30550.874
FRT UN,8894.874136,146.214,426.693,4442.795,1048.475,#VALUE!,717.37,376.697,511.694,-822.863,-311.169,416.556,#VALUE!,8217.007,#VALUE!,5049.368,3167.639,-668.427,127.464,1047.676,-311.169,146.214,#VALUE!,#VALUE!,518.801,21.845,301.06,819.861,130.894,1.071,-102.84,#VALUE!,0,376.697,-1255.428,124.549
FTNT UW,40901.611,1730.4,11.9,989.9,4098,3082.1,936.6,742.5,1569.3,-401.6,1167.7,826.7,2982.2,5335.9,2779.6,5958.7,-622.8,280.6,-2738,4098,2156,964,1015.9,2255.4,1065.2,32.1,102.3,1243.6,18,9.3,23.4,916.7,25.3,773.6,280.6,-2736.5
FTV UN,23942.20383,705.3,4.9,2947.1,5670.6,3264.9,#VALUE!,693,1113.6,-81.6,1032,#VALUE!,2514.9,16465.5,3714.9,6948.5,9764.4,#VALUE!,#VALUE!,5670.6,1044.3,705.3,2405.7,#VALUE!,898.1,#VALUE!,453,1351.1,#VALUE!,#VALUE!,#VALUE!,792.2,96.3,695.9,#VALUE!,#VALUE!
GD UN,69263.21155,2496,0,13122,38848,6557,5054,3350,5592,-1005,4587,4170,21005,51116,15659,33465,17651,-1379,-4856,38848,4587,2496,32291,34678,4170,213,884,5054,#VALUE!,#VALUE!,-159,3957,607,3350,-1379,-4856
GE UN,95302.5165,52517,-744,32910,75073,19007,5888,-6088,3849,-1312,2537,2321,60082,180877,54657,148124,32753,22674,-38603,74427,4293,12596,56066,79488,#VALUE!,6612,3567,#VALUE!,1616,0,4996,2930,579,-5168,22674,-37903
GEN UW,14948.70977,1095,0,10123,2873,2446,1095,591,783,-8,775,933,1622,15882,2825,14184,1698,-6533,5319,2874,775,1095,427,1513,1531,152,147,1678,142,5,16,954,190,591,-6533,5349
GILD UW,107074.8005,6942,-24,25223,27136,20248,8113,3334,9710,-703,9007,6003,13554,62557,10423,41500,21057,-2369,-7004,27136,9007,4699,6888,21133,10988,1461,2110,#VALUE!,947,0,514,5188,1233,3818,-2369,-6857
GIS UN,48830.17593,594.4,250.8,11561.9,19170.5,6252.5,4275.9,2900.3,3335.1,-555.6,2779.5,3717.1,5134,31107.2,8595.5,20281.6,10825.6,-127,-3367.7,19170.5,2779.5,594.4,12918,#VALUE!,3275.3,265.9,558.8,3700.5,#VALUE!,#VALUE!,-105.5,3323.5,633.5,2900.3,-127,-3307.3
GL UN,11291.12836,85.586,0,2062.284,5189.597,#VALUE!,#VALUE!,706.097,1428.045,-27.28,1400.765,951.542,#VALUE!,24838.788,#VALUE!,20477.19,4361.598,-974.965,-463.819,5129.996,1400.765,85.586,#VALUE!,4323.445,#VALUE!,#VALUE!,#VALUE!,#VALUE!,85.39,#VALUE!,0,866.152,160.055,706.097,-974.965,-473.393
