indx_members,cur_mkt_cap,cash_and_marketable_securities,preferred_equity_and_minority_int,short_and_long_term_debt,sales_rev_turn,gross_profit,ebitda,earn_for_common,cf_cash_from_oper,capital_expend,cf_free_cash_flow,is_oper_inc,bs_cur_asset_report,bs_tot_asset,bs_cur_liab,bs_tot_liab2,total_equity,cf_cash_from_inv_act,cf_cash_from_fnc_act,is_comp_sales,headline_fcf,bs_cash_near_cash_item,is_cogs_to_fe_and_pp_and_g,is_tot_oper_exp,is_comparable_ebit,is_non_operating_inc_loss_gaap,cf_depr_amort,is_comparable_ebitda,is_int_expense,is_int_inc,is_other_nonop_inc_loss_gaap,is_comp_ptp_ex_stk_based_comp,is_inc_tax_exp,is_comp_net_income_gaap,cb_cf_net_cash_investing_act,cb_cf_net_cash_financing_act
AVGO UW,212410.3913,9977,3737,39495,31680,20807,18089,9826,15694,-390,15304,12820,15561,71326,6702,50423,20903,-489,-16333,31680,15304,9977,10873,7987,19178,1837,5269,19854,1765,#VALUE!,72,14556,858,#VALUE!,-489,-16333
AVY UN,15422.97744,128.2,0,3132.8,9196.6,2489.1,1440.9,816.9,899.2,-307.6,591.6,1151.1,2961.8,8042.3,2939.3,6035,2007.3,-362.2,-616,9196.6,581.3,128.2,6707.5,#VALUE!,1138.3,77,289.8,1428.1,81.6,0,-4.6,1064.9,256.8,816.9,-362.2,-606.3
AWK UN,27055.98821,77,-27,11923,3812,#VALUE!,1877,1318,1176,-2280,-1104,1232,1017,27126,2130,19368,7758,-1545,373,3812,-1104,77,#VALUE!,2580,1232,-492,645,1877,420,43,-869,1724,406,1318,-1545,373
AXP UN,115529.6476,31182,0,43908,52679,#VALUE!,13495,7540,17655,-1813,15842,10020,#VALUE!,214915,#VALUE!,190975,23940,-34237,19848,50831,15842,31182,#VALUE!,#VALUE!,#VALUE!,#VALUE!,1627,#VALUE!,#VALUE!,11080,0,10020,2359,7563,-34237,19298
AZO UN,48029.65313,485.094,0,9513.777,16252.23,8472.65,4113.952,2429.604,3211.135,-672.391,2538.744,3270.729,6627.984,15275.043,8588.393,18813.956,-3538.913,-648.099,-3469.991,16252.23,2538.744,264.38,7779.58,#VALUE!,3270.729,191.638,442.223,3712.952,197.686,6.048,0,3079.091,649.487,2429.604,-648.099,-3470.497
BA UN,102544.8666,14257,64,57219,61421,-868,-5354,-8444,771,-1118,-347,-7365,109251,137558,89618,155193,-17635,8456,-5490,61421,-347,13494,62289,#VALUE!,-7365,1708,2011,-5637,2562,0,-854,-9073,-519,-8444,8456,-5378
BAC UN,301322.5659,487672,29134,590561,103331,#VALUE!,#VALUE!,25884,7326,0,7326,30890,#VALUE!,3072953,#VALUE!,2803429,269524,-75816,-6388,92784,7326,27802,#VALUE!,#VALUE!,#VALUE!,#VALUE!,1971,#VALUE!,#VALUE!,39659,0,30890,3481,25884,-75816,1386
BALL UN,17309.63275,473,70,9295,15475,2758,2101,961,660,-1784,-1124,1406,5812,20053,6189,16504,3549,-987,-635,15475,-1124,473,12717,14069,1575,299,695,2195,285,0,-6,1042,149,807,-987,-598
BAX UN,28003.90778,1601,44,16886,14740,5340,-599,-2376,1465,-714,751,-1913,7810,27965,3708,22386,5579,-10942,7820,14740,751,1601,9400,#VALUE!,2634,381,1314,#VALUE!,368,16,33,2342,70,-2373,-10942,7957
BBWI UN,9429.575717,294.941,1,6073.143,7699.864,3453.019,1817.662,960.891,#VALUE!,-281.128,#VALUE!,1602.983,1947.546,5133.438,1453.007,7742.301,-4205.863,#VALUE!,#VALUE!,7699.277,#VALUE!,294.941,4246.845,#VALUE!,1612.233,343.476,214.679,#VALUE!,348.371,#VALUE!,-4.895,1259.392,300.922,958.502,#VALUE!,#VALUE!
BBY UN,17771.82645,932,0,4012,47928,10285,2905,1550,2083,-885,1198,2001,9922,17021,10170,14028,5684,-1401,-3027,47928,1198,932,37643,#VALUE!,2160,24,904,2816,29,#VALUE!,-5,1989,424,1550,-1401,-3008
BDX UN,67086.44498,1014,0,16065,18870,8477,4511,1689,2634,-973,1661,2282,8141,52934,7811,27633,25301,-3231,-636,18870,1661,1006,10393,16588,2282,499,2229,4511,398,16,117,1783,148,1779,-3231,-591
BEN UN,13188.3463,4134.9,2350.1,9362.5,8275.3,#VALUE!,2317.7,1237.8,1956.7,-90.3,1866.4,1773.9,#VALUE!,28060.6,#VALUE!,14235.9,13824.7,-3329.2,1507.8,8275.3,1866.4,4134.9,#VALUE!,6501.4,2323.5,#VALUE!,442.6,#VALUE!,98.2,0,44.5,2179,396.2,1291.9,-3329.2,1585
BF/B UN,34620.67598,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
BIIB UW,43965.0683,5771.4,-8.7,6634,10363.2,7995.7,4516.4,2864.7,2397.6,-205.5,2192.1,3353.8,9765.8,24854.2,3926.4,12087.4,12766.8,1605,-1868.8,10358.2,2192.1,3675.6,2367.5,6524.8,3603.8,-39.2,1162.6,#VALUE!,258.1,42.2,-238.4,3756.9,1021.7,2865.4,1605,-1730.1
BIO UN,11922.90472,1850.123,0,1389.574,2804.73,1574.334,647.718,-6034.688,261.951,-110.464,151.487,463.418,3140.155,12058.462,570.677,3604.857,8453.605,-1692.762,1084.535,2804.73,151.487,517.943,1230.396,#VALUE!,502.159,8304.538,131,697.7904,26.795,#VALUE!,8272.399,531.864,-1806.432,-6034.688,-1692.762,1064.83
BK UN,36526.16979,149507,4997,66810,17999,#VALUE!,#VALUE!,2675,15273,-1363,13910,3708,#VALUE!,427953,#VALUE!,388057,39896,14681,-31307,16445,13910,112134,#VALUE!,#VALUE!,#VALUE!,#VALUE!,1716,#VALUE!,#VALUE!,2468,0,4488,822,2675,14681,-31631
BKNG UW,75115.64986,11787,0,9470,16022,#VALUE!,5030,2441,4660,-394,4266,4605,12410,22063,8543,18393,3670,-1811,-5466,16022,4267,9021,#VALUE!,11417,#VALUE!,1318,425,4994,321,92,1158,#VALUE!,846,2441,-1811,-5381
BKR UW,29785.08891,2851,-1554,6655,20736,4269,2240,-491,1764,-888,876,1097,14335,33165,9465,18798,14367,-831,-2008,20770,1103,2851,16467,19639,1798,732,1079,2878,#VALUE!,#VALUE!,450,1416,795,-490,-831,-1855
BLK UN,110755.0495,6797,955,8364,18642,#VALUE!,7248,5562,4900,-525,4375,6830,#VALUE!,115430,#VALUE!,77313,38117,-1072,-4270,18642,4375,6797,#VALUE!,11645,7131,#VALUE!,418,#VALUE!,208,0,82,6748,1429,5562,-1072,-3908
BMY UN,168391.893,9027,63,40110,46738,36838,19232,6677,13817,-1092,12725,8898,26796,98196,18930,65462,32734,-1874,-17865,46738,12725,7734,9900,38517,20630,1186,10334,19987,1261,0,-1466,19987,1020,6677,-1874,-17683
BR UN,17451.81428,227.1,0,4328,5799.5,1606.2,1245.4,522.3,374.1,-28.8,345.3,744.1,1222.1,8090.6,991.7,6186.9,1903.7,-87.6,-378.6,5799.5,179.9,227.1,4193.3,5055.3,1039.7,94.7,452.7,#VALUE!,92.8,3.8,5.7,823.8,127.1,522.3,-87.6,-367.2
