headline_fcf(),bs_cash_near_cash_item(), is_cogs_to_fe_and_pp_and_g(), is_tot_oper_exp(), is_comparable_ebit(),is_non_operating_inc_loss_gaap(), cf_depr_amort(),is_comparable_ebitda(), is_int_expense(), is_int_inc(), is_other_nonop_inc_loss_gaap(), is_comp_ptp_ex_stk_based_comp(), is_inc_tax_exp(), is_comp_net_income_gaap(), is_comp_net_income_gaap(fa_period_offset=1), is_comp_net_income_gaap(fa_period_offset=2), is_comp_net_income_gaap(fa_period_offset=3), is_comp_net_income_gaap(fa_period_offset=4), is_comp_net_income_gaap(fa_period_offset=5), cb_cf_net_cash_investing_act(),cb_cf_net_cash_financing_act(), ebit(), pretax_inc(), is_comp_net_income_adjust(), bs_pfd_eqy(), minority_noncontrolling_interest(),	bs_tot_cap()) for(members('RAY Index'))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,cur_mkt_cap(),cash_and_marketable_securities(),preferred_equity_and_minority_int(),RR251,sales_rev_turn(),gross_profit(),ebitda(),earn_for_common(),cf_cash_from_oper(),capital_expend(),cf_free_cash_flow(),is_oper_inc(),bs_cur_asset_report(),bs_tot_asset(),bs_cur_liab(),RR005,RR007,cf_cash_from_inv_act(),cf_cash_from_fnc_act(),is_comp_sales(),is_comp_sales(fa_period_offset=1),is_comp_sales(fa_period_offset=2),is_comp_sales(fa_period_offset=3),is_comp_sales(fa_period_offset=4),is_comp_sales(fa_period_offset=5),headline_fcf(),bs_cash_near_cash_item(),is_cogs_to_fe_and_pp_and_g(),is_tot_oper_exp(),is_comparable_ebit(),is_non_operating_inc_loss_gaap(),cf_depr_amort(),is_comparable_ebitda(),is_int_expense(),is_int_inc(),is_other_nonop_inc_loss_gaap(),is_comp_ptp_ex_stk_based_comp(),is_inc_tax_exp(),is_comp_net_income_gaap(),is_comp_net_income_gaap(fa_period_offset=1),is_comp_net_income_gaap(fa_period_offset=2),is_comp_net_income_gaap(fa_period_offset=3),is_comp_net_income_gaap(fa_period_offset=4),is_comp_net_income_gaap(fa_period_offset=5),cb_cf_net_cash_investing_act(),cb_cf_net_cash_financing_act(),ebit(),pretax_inc(),is_comp_net_income_adjust(),bs_pfd_eqy(),minority_noncontrolling_interest(),bs_tot_cap()
MMM UN Equity,64847798619,3893000000,0,16461000000,34229000000,14997000000,#N/A,5777000000,5591000000,-1749000000,3842000000,6539000000,14688000000,46455000000,9523000000,31685000000,14770000000,-1046000000,-5454000000,34229000000,32114285714,33008578947,34262000000,36464000000,36995333333,3842000000,3655000000,19232000000,27690000000,7116000000,147000000,#N/A,8947000000,#N/A,#N/A,147000000,6969000000,612000000,5777000000,4613600000,5166333333,5486875000,5939400000,5954666667,-1046000000,-5350000000,6539000000,6392000000,5735000000,0,#N/A,31231000000
BAC UN Equity,2.89403E+11,5.04785E+11,28397000000,5.78393E+11,1.15053E+11,#N/A,#N/A,26015000000,#N/A,#N/A,#N/A,30969000000,#N/A,3.05071E+12,#N/A,2.77751E+12,2.73197E+11,#N/A,#N/A,95388000000,1.01409E+11,1.03639E+11,1.106E+11,1.0888E+11,1.11504E+11,#N/A,30334000000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,49917000000,0,30969000000,3441000000,26015000000,28214352941,28711875000,30603400000,28800000000,30201500000,#N/A,#N/A,#N/A,30969000000,26015000000,28397000000,0,8.5159E+11
GSAT UA Equity,2467370009,14749000,0,354292000,141673000,77778000,-130873000,-275538000,56420000,-7937000,48483000,-227230000,65991000,746538000,146943000,610958000,135580000,-40459000,-63586000,137348000,185050000,209833333.3,208250000,231000000,#N/A,48483000,14749000,63895000,368903000,-38183000,48873000,96357000,51476000,#N/A,#N/A,-168000,-79713000,-565000,-275538000,-41360000,-26025000,#N/A,#N/A,#N/A,-40459000,-63443000,-227230000,-276103000,-274586050,0,0,489872000
AKRO UW Equity,2242294804,374003000,0,10587000,0,#N/A,-121807000,-121398000,-93704000,0,-93704000,-122175000,377946000,379408000,25243000,35900000,343508000,49620000,253152000,0,0,0,0,19350000,146700000,-93704000,374003000,0,122175000,-122175000,-777000,44000,#N/A,#N/A,#N/A,-259000,-121398000,0,-121395000,-154175000,-185000000,-204250000,-208125000,-146037500,49620000,253152000,-122175000,-121398000,-121395000,0,0,354095000
PFE UN Equity,2.47491E+11,#N/A,#N/A,#N/A,1.0033E+11,65986000000,#N/A,31372000000,34981000000,#N/A,#N/A,34944000000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.0033E+11,70587590909,69978863636,70048800000,68987000000,68317692308,#N/A,#N/A,34344000000,#N/A,41776000000,215000000,#N/A,45385000000,1238000000,251000000,-772000000,34729000000,3328000000,31372000000,18475823529,18814875000,19644214286,19803454545,19959666667,#N/A,#N/A,34944000000,34729000000,37717000000,#N/A,#N/A,#N/A
PG UN Equity,3.35895E+11,6854000000,1101000000,34882000000,80281000000,37410000000,20074000000,14070000000,14603000000,-3037000000,11566000000,17346000000,21866000000,1.17715E+11,38746000000,72990000000,44725000000,-3780000000,-15513000000,80281000000,82392050000,85854785714,89680100000,93487400000,97357000000,11791000000,6854000000,42871000000,#N/A,17346000000,-207000000,2728000000,20362000000,518000000,138000000,-587000000,17553000000,3206000000,14279000000,14989666667,15940863636,16998500000,17647250000,18273833333,-3780000000,-15090000000,17346000000,17553000000,14279000000,831000000,270000000,79607000000
T UN Equity,1.41277E+11,3701000000,8957000000,1.54679E+11,1.20741E+11,69893000000,13434000000,-8727000000,32023000000,-19626000000,12397000000,-4587000000,33108000000,4.02853E+11,56173000000,2.96396E+11,1.06457E+11,-25805000000,-23741000000,1.20741E+11,1.22664E+11,1.24193E+11,1.25212E+11,1.25775E+11,1.27501E+11,14138000000,3701000000,50848000000,1.25328E+11,23520000000,-1493000000,18021000000,41465000000,6108000000,#N/A,-5810000000,28897000000,3780000000,-6874000000,17023166667,17460777778,17677466667,17473000000,17690285714,-25805000000,-23741000000,-4587000000,-3094000000,18492000000,0,8957000000,2.61136E+11
TRV UN Equity,42281656575,799000000,0,7292000000,36884000000,#N/A,#N/A,2822000000,6465000000,0,6465000000,3705000000,#N/A,1.15717E+11,#N/A,94157000000,21560000000,-3728000000,-2699000000,36884000000,40600687500,43316000000,44945777778,46139500000,52832000000,6465000000,799000000,#N/A,33530000000,#N/A,#N/A,6341000000,#N/A,351000000,#N/A,0,3558000000,512000000,2842000000,3316125000,3772312500,4191571429,4747000000,5077000000,-3728000000,-2669000000,3705000000,3354000000,2998000000,0,0,28852000000
RTX UN Equity,1.41787E+11,6220000000,1582000000,33500000000,67074000000,13668000000,9522000000,5197000000,7168000000,-2288000000,4880000000,5414000000,42443000000,1.58864E+11,39114000000,84650000000,74214000000,-2829000000,-5901000000,67074000000,72420050000,78262050000,83518187500,88108500000,96603500000,4880000000,6220000000,53406000000,61780000000,5414000000,-613000000,4108000000,9522000000,1276000000,0,-1889000000,6027000000,700000000,5216000000,6057100000,7226916667,8633800000,8800000000,47036000000,-2829000000,-5859000000,5414000000,6027000000,7098000000,0,1582000000,1.07714E+11
WMT UN Equity,3.80842E+11,11587000000,8130000000,65380000000,6.00112E+11,1.46292E+11,31594000000,8967000000,23588000000,-16579000000,7009000000,20754000000,87680000000,2.47656E+11,1.01408E+11,1.67273E+11,80383000000,-17450000000,-10649000000,6.00112E+11,6.19586E+11,6.39879E+11,6.62662E+11,6.78216E+11,7.01077E+11,7009000000,11587000000,4.5382E+11,#N/A,24187000000,7858000000,10840000000,34415000000,1614000000,198000000,6442000000,21652160000,3780000000,8967000000,16845644872,18887333333,19022166667,19574500000,20417000000,-17450000000,-10296000000,20754000000,12896000000,14554650000,0,8130000000,1.45763E+11
