"get(cur_mkt_cap(), px_last(), revenue_per_sh(), ebitda_per_sh(), oper_inc_per_sh(), is_eps(), is_earn_bef_xo_items_per_sh(), is_basic_eps_cont_ops(), is_diluted_eps(), is_dil_eps_bef_xo(), is_dil_eps_cont_ops(), is_div_per_shr(), cash_flow_per_sh(), free_cash_flow_per_sh(), cash_st_investments_per_sh(), book_val_per_sh(), tang_book_val_per_sh(), is_eps(fa_period_offset=1), is_dil_eps_cont_ops(fa_period_offset=1), is_div_per_shr(fa_period_offset=1), cash_flow_per_sh(fa_period_offset=1), book_val_per_sh(fa_period_offset=1), is_eps(fa_period_offset=2), is_dil_eps_cont_ops(fa_period_offset=2), is_div_per_shr(fa_period_offset=2), cash_flow_per_sh(fa_period_offset=2), book_val_per_sh(fa_period_offset=2), is_eps(fa_period_offset=3), is_dil_eps_cont_ops(fa_period_offset=3), is_div_per_shr(fa_period_offset=3), book_val_per_sh(fa_period_offset=3), is_eps(fa_period_offset=4), is_dil_eps_cont_ops(fa_period_offset=4), is_div_per_shr(fa_period_offset=4), is_eps(fa_period_offset=5), is_dil_eps_cont_ops(fa_period_offset=5), is_div_per_shr(fa_period_offset=5)) for(members('RAY Index'))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,cur_mkt_cap(),px_last(),revenue_per_sh(),ebitda_per_sh(),oper_inc_per_sh(),is_eps(),is_earn_bef_xo_items_per_sh(),is_basic_eps_cont_ops(),is_diluted_eps(),is_dil_eps_bef_xo(),is_dil_eps_cont_ops(),is_div_per_shr(),cash_flow_per_sh(),free_cash_flow_per_sh(),cash_st_investments_per_sh(),book_val_per_sh(),tang_book_val_per_sh(),is_eps(fa_period_offset=1),is_dil_eps_cont_ops(fa_period_offset=1),is_div_per_shr(fa_period_offset=1),cash_flow_per_sh(fa_period_offset=1),book_val_per_sh(fa_period_offset=1),is_eps(fa_period_offset=2),is_dil_eps_cont_ops(fa_period_offset=2),is_div_per_shr(fa_period_offset=2),cash_flow_per_sh(fa_period_offset=2),book_val_per_sh(fa_period_offset=2),is_eps(fa_period_offset=3),is_dil_eps_cont_ops(fa_period_offset=3),book_val_per_sh(fa_period_offset=3),is_eps(fa_period_offset=4),is_dil_eps_cont_ops(fa_period_offset=4)
JNJ UN Equity,4.27E+11,163.1799927,35.64060212,#N/A,8.897856526,6.734862,6.734862,8.149237,6.734862,6.734862,8.149237,4.52,#N/A,#N/A,#N/A,#N/A,#N/A,9.714444444,10.43434783,4.678823529,10.79,34.26142857,10.14222222,10.83952381,4.931333333,11.19285714,38.20833333,11.168,11.44888889,48.82666667,11.512,11.84142857
EVRG UW Equity,14367635000,62.61000061,24.80844121,10.08027847,5.692157076,3.472477,3.472477,3.628893,3.461269,3.461269,3.615778,2.29,7.802480389,-1.736103557,0.107610204,41.86341907,31.6835809,3.426666667,3.46952381,2.45,8.104166667,41.69,3.665,3.86,2.585,8.509583333,42.82,4.133482143,4.144722222,44.12666667,4.374375,4.3775
MCD UN Equity,1.95E+11,266.4100037,31.27289896,13.14096857,12.64130581,8.33,8.33,8.33,8.33,8.33,8.33,5.52,9.964521786,7.402536085,3.527738513,-8.196619471,#N/A,10.54571429,10.58609756,6.063333333,13.52,-8.367142857,11.68538462,11.59296296,6.538571429,14.73333333,-9.29,12.69,12.76857143,#N/A,13.91333333,13.91333333
RPD UQ Equity,2358774316,39.81999969,11.27238559,-1.220837232,-2.401820973,-2.74,-2.74,-2.732332,-2.74,-2.74,-2.736477,0,0.733134213,0.438768625,4.249438012,-2.403280964,-12.8635595,-1.860984848,0.520041796,0,13.6905,-1.91,-1.620340909,0.800418803,0,15.1485,-1.151666667,-1.146,1.43,0.59,-0.6435,2.1525
MRK UN Equity,2.71E+11,107.0400009,23.312185,8.670421978,7.147741872,6.03,6.05,6.71135,6.01,6.04,6.692069,2.72,7.78553548,6.027868366,4.439871901,17.54870421,0.761820125,5.967222222,6.921691729,2.88,7.5815,20.51,6.25625,8.159166667,3.21,8.32175,20.82,8.819,9.223333333,24.78833333,9.503340909,10.54
MMM UN Equity,63394086271,114.6800003,60.47526502,#N/A,11.55300353,10.206714,10.187279,6.864028,10.177942,10.158562,6.844679,5.96,9.878091873,6.787985866,7.087910233,26.89145495,-4.95043101,8.396923077,8.915238095,6.119285714,10.71,29.17285714,9.435384615,9.651578947,6.325714286,12.16666667,32.12,10.24125,10.38363636,35.686,11.282,11.552
BAC UN Equity,2.83E+11,35.38999939,14.18009046,#N/A,3.816877627,3.21,3.21,3.204358,3.19,3.19,3.188066,0.86,#N/A,#N/A,63.12354846,30.61232933,21.72162354,3.461,3.484444444,0.93625,3.055,32.78181818,3.672631579,3.734615385,1.04173913,3.22,35.04761905,3.99,4.115,36.44,4.085,4.085
GSAT UA Equity,2521399957,1.399999976,0.078792471,-0.072785973,-0.12637562,-0.14,-0.14,-0.153687,-0.14,-0.14,-0.153687,0,0.031393434,0.026964174,0.008191507,0.075300325,0.055143409,-0.26,-0.04,#N/A,#N/A,0.05,-0.0125,-0.02,#N/A,#N/A,0.105,#N/A,-0.065,0.095,#N/A,-0.14
AKRO UW Equity,2296072361,49.09999847,0,-3.3849563,-3.395182838,-3.36,-3.36,-3.36,-3.36,-3.36,-3.36,0,-2.606927428,-2.603987826,9.673291344,8.884562324,8.884562324,-3.49,-3.420333333,#N/A,#N/A,7.12,-3.491875,-3.520208333,#N/A,#N/A,4.05,-3.445,-3.389375,4.165,-3.113333333,-3.035
PFE UN Equity,2.48E+11,44.11999893,17.89051355,#N/A,#N/A,5.59,5.593081,6.337538,5.47,5.468953,6.197178,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3.638571429,4.306,1.683571429,3.906666667,18.22571429,3.558333333,4.096,1.753846154,4.012,19.55,3.682222222,4.149230769,20.41333333,3.6225,4.139230769
PG UN Equity,3.36E+11,142.2200012,33.40451921,8.352690157,7.217583116,5.86,5.86,5.861566,5.7,5.7,5.69811,3.6097,6.077548098,4.812554267,2.905291072,18.49145283,-8.444164494,6.089,6.082022059,3.744166667,8.103,19.16666667,6.60952381,6.564285714,3.994285714,8.383333333,20.68,7.211428571,7.108333333,19.7475,7.656666667,7.600833333
T UN Equity,1.45E+11,20.29000092,16.84914876,1.874686017,-0.640106056,-1.217834,-1.192576,2.654473,-1.217834,-1.192576,2.441001,1.11,4.468741278,1.729974881,0.519219978,13.67845118,-14.0068743,2.283529412,2.433333333,1.116538462,5.4825,15.77428571,2.344,2.497692308,1.127307692,5.2575,16.76833333,2.417,2.534210526,17.494,2.35,2.547272727
TRV UN Equity,44307888583,190.8999939,155.628692,#N/A,15.63291139,11.91,11.91,12.565401,11.77,11.77,12.420814,3.67,27.27848101,27.27848101,3.442481689,92.89099526,74.62731581,14.31611111,14.37565217,3.841764706,42.01,100.9033333,16.50944444,16.57434783,4.057647059,46.64,109.1827778,19.53571429,19.24222222,115.0628571,21.815,21.385
RTX UN Equity,1.47E+11,99.70999908,45.45848865,6.453405625,3.669264656,3.52,3.54,4.600595,3.5,3.51,4.568064,0.55,4.858014232,3.30735344,4.23111694,49.40747357,-12.26547742,3.96,4.9832,2.303,5.536,49.44166667,4.773333333,5.798695652,2.462,6.018,50.258,5.731666667,6.648823529,51.6825,5.805,7.0625
WMT UN Equity,3.87E+11,143.4600067,218.8193254,11.52014585,7.567547858,3.26,3.26,5.063979,3.24,3.24,5.046776,2.79,8.617721281,2.555697356,4.289892632,26.75046279,16.33320992,6.330227273,6.380751515,2.2215,11.52666667,28.49,7.038636364,7.055304348,2.35,12.68666667,30.68,7.46,7.545,34.83142857,8.02,8.07
CSCO UW Equity,1.99E+11,48.47000122,12.62180918,3.934825901,3.396536117,2.77,2.77,2.809242,2.77,2.77,2.80347,1.51,3.325097554,3.193530867,4.82183768,9.815257129,-0.060443578,2.889038462,3.607252964,1.556969697,3.9325,11.22833333,3.156363636,3.879666667,1.611333333,4.1,12.57,3.386,4.076538462,14.115,3.77375,4.35625
INTC UW Equity,1.16E+11,28.05999947,15.34907498,3.741236611,0.568159688,1.95,1.95,-1.559605,1.94,1.94,-1.559605,2.58,3.756815969,-2.34104187,6.849891226,24.51607445,16.39207155,-0.1325,0.516684211,1.477826087,2.746,23.668,1.293846154,1.847297297,1.446086957,4.564,23.34,2.23,2.200769231,25.94333333,3.61,3.685
MSFT UW Equity,1.84E+12,246.8899994,27.32639331,13.35631799,11.08820084,9.02,9.02,9.192037,9,9,9.160564,2.6,11.29368521,7.98232636,13.36215926,24.59191621,14.08312072,9.971237126,9.97968283,2.760512821,12.37339286,31.35555556,11.38125,11.38125,2.966923077,14.04416667,39.97428571,13.59777778,13.59777778,48.15714286,16.48,16.48
SAM UN Equity,4767070533,386.8399963,161.7831139,9.31025516,2.816837315,2.16,2.16,4.224981,2.14,2.14,4.190985,0,18.68820988,10.80286039,18.06061012,87.35348986,71.9878595,10.8775,10.96392308,0,21.00533333,99.82,14.7325,14.085,0,22.71,116.63,18.169375,15.71,111.042,28.98,18.21
C UN Equity,1.01E+11,52.02500153,51.92274105,#N/A,9.66096471,7.11,7.156213,7.156213,7.11,7.156213,7.156213,2.04,#N/A,#N/A,15.78575116,94.05988642,81.95147135,5.981666667,5.814761905,2.074545455,6.605,98.21894737,6.930588235,6.76,2.153333333,7.545,106.5326316,6.87,7.47,114.708,8.11,8.125
AIG UN Equity,46807740630,63,73.36954952,#N/A,25.16601015,17.06,17.06,3.476092,16.81,16.81,3.452481,1.28,5.851920899,5.658888041,3.070063109,51.55537976,46.12722981,6.532757576,5.906111111,1.323333333,14.88,59.54416667,7.613968254,6.930571429,1.281428571,17.52,65.41428571,8.02125,7.74,74.47,9.844166667,8.986666667
EFC UN Equity,876141682.7,13.72999954,0,#N/A,-0.987718553,-1.19,-1.19,1.320626,-1.19,-1.19,1.314028,1.5,1.059812788,1.069244962,2.899297102,15.21862111,15.21862111,1.8825,1.823666667,1.8,1.785,15.188,1.825,1.936,1.8,1.95,15.505,#N/A,#N/A,15.47333333,#N/A,#N/A
MO UN Equity,80522316274,44.93000031,11.40314136,6.641499036,6.521906861,2.57,2.57,4.756003,2.57,2.57,4.742489,3.64,4.57072568,4.456324056,1.384200504,-2.359217291,-12.131684,5.018333333,5.000538462,3.84425,7.595,-2.84,5.188333333,5.238333333,3.926,6.38,-3.05,5.41,5.416666667,-1.965,5.61,5.61
CLPR UN Equity,298359591.3,7,7.938305422,3.218203324,3.990724024,-0.41,-0.41,-0.170453,-0.41,-0.41,-0.215827,0.38,0.777687854,-2.378260599,1.244270454,1.037836231,1.037836231,#N/A,-0.2,0.38,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
