Ticker,Market Cap,Actual,Predicted,Ratio
HOG UN Equity,6699613629.0,45.84000015,77.71418767609138,1.695335676740642
LHX UN Equity,40706212265.0,213.8600006,219.5771752672572,1.0267332584457927
PEAK UN Equity,14717848692.0,27.37999916,35.418779237505504,1.2936004501143128
HP UN Equity,5054087012.0,48.36999893,91.4072468757268,1.8897508558561136
HSY UN Equity,45865693586.0,223.6600037,185.10497571786613,0.8276176904930728
HRL UN Equity,24643730316.0,45.09999847,47.026588021992254,1.0427181733337263
CNP UN Equity,18895561116.0,30.01000023,40.192140686986505,1.33929158210428
HUM UN Equity,64621866629.0,510.4400024,526.7988095791679,1.0320484427204992
ITW UN Equity,72492915268.0,235.9900055,183.06755090040997,0.7757428138218759
TT UN Equity,41252641735.0,179.1199951,135.26835083526777,0.7551828636426071
